[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
13.819454;0.225106;32.6976;29.596237;1.4725337;7.8980336;43.456253;5.2341895;37.403362;5.2328434;0.77753633;0.0;0
15.022862;0.13653651;29.054644;44.312332;0.9660412;40.47901;45.54805;5.9965715;8.346289;7.2834783;0.9390578;0.0;0
19.36644;4.273045;37.691265;23.955309;2.5666146;2.1232324;36.233257;40.3127;22.155636;4.7753224;0.76115376;0.0;0
6.8535943;0.3274778;36.436947;9.310375;3.7770379;34.112423;35.639484;31.771214;32.83743;6.5323925;0.5640131;0.0;0
7.723964;2.6714962;5.9710464;11.121811;1.4210331;24.057755;24.911154;37.927948;44.156708;1.4644052;0.79854167;0.0;0
9.656339;3.11344;49.97357;42.3798;3.6379912;4.2273154;4.3528256;45.30722;32.878105;7.755959;1.0732411;0.0;0
4.1946917;1.0710391;47.123543;0.93168724;2.363678;34.583782;49.95194;11.700328;4.4641504;0.53111696;0.66356105;0.0;0
3.0334694;4.489081;44.8813;43.521954;2.0784864;24.402267;1.2699914;18.522223;16.417292;6.600474;0.53172493;0.0;0
9.776246;1.0314692;31.303312;3.2516103;1.8616523;43.075016;25.022171;39.72237;17.871143;8.349979;0.9448078;0.0;0
4.924732;4.4341235;26.37817;19.887094;0.81334674;10.82728;18.67315;13.339899;19.719536;7.784533;0.77264285;0.0;0
13.561373;3.8386524;27.04579;40.108723;1.7299055;0.6138288;38.918552;25.549023;47.11012;1.8995156;0.70082295;0.0;0
9.024463;1.2796404;1.2393787;20.676962;4.4083323;6.9590974;36.921127;22.450808;2.2673159;8.52035;0.79252344;0.0;0
16.737225;0.8386464;25.22374;41.206234;0.60061795;13.845696;31.58846;29.967606;15.457594;1.2523603;1.0579997;0.0;0
14.1551695;1.6495403;31.376595;5.4647923;4.79567;32.786095;4.199558;49.416042;24.876568;1.1303922;0.6501496;0.0;0
6.5911493;2.0499578;33.105957;25.82134;0.626733;18.45084;12.224048;5.633893;4.776603;8.314763;0.620312;0.0;0
16.729067;1.3043449;16.940903;29.332464;1.873955;6.3532224;5.1608424;24.489798;24.43513;2.2339437;0.8203469;0.0;0
16.192905;4.994569;23.828476;44.597996;3.0709002;49.087887;48.95933;47.96985;5.8028812;4.7470603;0.777985;0.0;0
8.055828;1.2252965;31.997375;5.1342597;4.205423;5.8572583;6.8252535;17.719906;41.97022;9.398015;0.58987856;0.0;0
6.122398;4.1701107;21.701122;17.260735;0.8035558;18.078457;48.37604;37.15957;13.869178;2.485155;0.8483944;0.0;0
13.808662;0.87967694;48.12569;33.13773;0.7914009;43.89191;6.0792527;46.498886;26.389053;7.9155455;0.8446942;0.0;0
3.2251735;4.9031987;35.419384;49.00654;3.1790528;32.804462;43.1804;12.410068;31.106733;6.0521784;0.8632585;0.0;0
4.39821;1.2050649;0.56305045;42.48958;1.5344585;16.329996;28.944193;4.5283227;15.633418;4.35411;0.7481333;0.0;0
0.6435643;2.1662738;1.6523343;42.401505;3.2580602;48.532166;41.67042;4.2468047;17.890078;4.8626924;0.67402923;0.0;0
15.845025;2.836964;34.66986;26.100534;4.1208577;25.304379;31.884682;4.1131845;25.770544;4.3979506;0.6969971;0.0;0
13.464592;0.6894;20.925932;28.432806;0.4766655;0.90143985;38.557438;17.850782;40.36902;8.359379;1.0006143;0.0;0
14.250725;4.1024184;42.05381;42.999714;4.2380214;0.8050851;36.675175;6.7476244;22.908247;8.232862;0.87505805;0.0;0
15.724216;1.4459591;9.064262;43.546467;0.28416824;47.079964;13.379255;20.548779;24.799349;4.0474877;0.7388142;0.0;0
9.448857;2.7914226;1.1844323;40.21259;4.504248;14.418441;46.78489;37.829315;29.995314;7.123862;0.86796016;0.0;0
11.590453;2.7932057;19.710075;41.01928;4.880529;40.697216;32.36048;15.262197;21.547966;5.552737;0.70976835;0.0;0
3.2260416;3.0529392;36.935173;44.04168;3.3705306;2.6562212;10.503164;24.2312;36.44088;7.6080766;1.0175887;0.0;0
2.7333364;0.37188134;48.60052;6.1322055;4.922851;7.772397;15.64908;6.804755;0.74292654;0.9754408;0.9365792;0.0;0
13.533857;0.9262319;44.240868;14.985649;4.12776;42.910587;26.886024;35.065342;24.409477;3.6923256;0.56056917;0.0;0
9.686376;0.889842;24.461693;48.81762;0.31739095;49.70752;44.150425;16.224901;46.1893;3.69016;0.533702;0.0;0
11.522104;1.5800512;40.734455;27.46642;0.11867363;3.0701852;39.939278;7.1936755;30.987236;6.1697164;0.52005047;0.0;0
15.417478;0.8100794;3.9813576;9.2349615;0.2019126;8.79803;15.451376;47.75619;24.576788;2.4725451;0.5165201;0.0;0
12.8770075;4.6174145;28.82748;25.401255;2.3143442;36.284138;34.580074;38.59631;38.71523;5.5510917;0.798146;0.0;0
11.294798;2.6134768;46.252773;32.466316;3.1545749;26.710396;0.5820131;32.790222;19.953537;9.808665;0.6085051;0.0;0
11.40454;3.1555183;20.121065;41.496986;2.4592118;20.59532;16.965733;36.288483;23.628658;0.91330636;0.9047197;0.0;0
6.4270267;1.8516921;48.024982;40.702747;3.4179387;10.126143;42.059963;21.56187;10.160406;5.2827163;0.7896574;0.0;0
1.1009477;1.4536061;11.423912;2.937454;2.303053;47.29905;7.9844594;15.267389;6.6481056;1.8137393;0.5560861;0.0;0
9.015989;2.5655682;5.7288737;22.949488;0.30856264;9.027293;17.993065;25.24934;1.7633748;6.0328116;0.5034991;0.0;0
4.684401;1.5421826;26.475735;1.5181683;1.2082169;13.629853;0.5516442;41.350273;36.70969;2.7881968;0.5220348;0.0;0
8.466309;1.7838651;45.408722;44.46373;4.9638586;16.552757;1.64507;48.207737;23.675411;9.073833;0.8200021;0.0;0
17.14136;2.3184793;15.908321;9.108351;1.7947328;7.359868;7.72794;30.461424;46.997986;3.5209143;0.85196257;0.0;0
5.06182;2.578095;40.107937;31.431297;1.6913521;27.043537;5.542221;19.1298;9.252395;9.6039715;0.7118086;0.0;0
1.6369034;4.9231386;8.875265;28.74561;0.84868103;17.395592;24.741602;36.051197;12.57718;0.5392801;0.5473403;0.0;0
5.9869857;1.1942806;37.405735;31.463707;4.937004;30.588451;45.050217;35.004856;32.116936;8.40509;1.0608133;0.0;0
6.225078;2.4910831;28.072834;28.389122;1.2292507;18.708975;4.6897645;12.749481;3.2025855;2.9859948;0.7434282;0.0;0
13.407372;0.8326075;9.163341;35.92164;3.2694502;6.2629647;43.556927;22.057945;25.418957;2.4154136;0.75758517;0.0;0
11.362127;1.8149962;36.04532;31.492443;0.30603254;43.69357;33.573814;7.133674;6.6172853;8.899384;0.72887456;0.0;0
15.7860155;3.6148226;35.83093;4.969862;0.4257144;25.727777;8.860296;20.412777;8.489174;3.3915527;0.5356804;0.0;0
13.454114;0.9548645;26.014044;18.655014;3.6120834;16.431599;14.841956;38.256065;25.848944;6.046845;0.9262685;0.0;0
8.424543;2.9486215;11.660648;27.556376;3.212324;1.3100553;10.1120825;16.038185;28.669004;7.499406;0.8988861;0.0;0
16.373398;2.141835;7.0485477;16.597273;3.4327958;30.093401;39.570274;31.83512;10.99572;4.482416;0.5986787;0.0;0
3.755972;0.35273978;47.884125;38.13638;1.231755;39.233963;36.392467;16.718658;13.9263115;1.4627107;0.6611494;0.0;0
0.9428854;4.6720686;32.96272;16.235937;4.9259562;32.678032;15.568263;7.781632;14.563326;9.262202;0.8281519;0.0;0
2.2559333;2.1266553;40.557453;41.519867;2.8360384;39.492107;3.1895492;37.198685;7.5195866;6.6512585;0.72605973;0.0;0
14.586007;3.94124;35.000042;7.763319;4.850786;8.171799;8.852668;29.670956;48.30318;8.977776;1.0987575;0.0;0
9.506606;2.1399362;41.558945;38.58493;0.9044357;48.599297;31.67888;41.360153;34.763897;7.7934036;0.79788655;0.0;0
3.6447997;4.6930656;8.543296;9.581539;2.0849876;10.960998;4.973454;34.108227;5.9866705;7.852826;1.0293376;0.0;0
10.270373;1.5233046;25.099035;26.636757;1.7448591;13.70559;27.055042;40.95101;18.179428;6.1038837;0.6227677;0.0;0
3.470086;2.1199303;33.522675;16.365957;3.7998672;25.860313;30.839987;8.1699295;9.0438385;0.55884206;0.8337326;0.0;0
14.078247;3.8184347;5.6178;32.048054;3.7631001;0.7571786;34.543804;30.921892;12.102114;8.885254;0.69307727;0.0;0
9.2000475;1.7839699;7.922869;11.03065;2.4840646;22.4012;6.7051096;18.68524;47.00415;8.39378;1.060701;0.0;0
7.929914;1.8853496;31.88214;39.872784;0.17912522;10.188401;23.255442;37.452072;7.2692714;7.4065847;0.8307083;0.0;0
6.3794856;4.9746337;43.50094;28.8924;0.95850796;37.576397;23.438133;29.21426;44.050682;8.842514;0.8923676;0.0;0
12.79051;2.8225112;33.1906;47.88502;0.34630176;38.008793;41.84649;3.1819148;42.170834;2.2499766;0.54561245;0.0;0
7.555346;3.4779642;2.2921383;35.73263;4.2503715;30.978874;23.701492;26.910526;37.311577;3.1776586;0.7926123;0.0;0
2.2091734;3.252965;48.53643;30.56608;1.5198807;21.373417;20.63639;37.342422;25.08774;1.9926538;0.84768385;0.0;0
2.801115;4.1568284;7.4055915;41.543354;0.6778209;15.856584;6.6112924;13.508025;13.289199;6.6428785;0.6742417;0.0;0
19.257004;4.322943;12.01183;11.374287;1.8354446;41.45937;34.875984;32.899063;41.633503;4.664723;0.94146;0.0;0
18.217323;2.859955;48.76088;31.820751;0.47871765;25.601133;31.179579;42.125824;41.786713;1.4751192;0.779948;0.0;0
14.144289;1.5433247;38.666134;19.824991;4.8964;25.075106;35.989017;3.7257934;26.503141;5.9685516;0.83678627;0.0;0
5.6844645;0.21172121;46.860546;37.317654;1.6435387;6.114928;32.986023;29.112108;2.8568625;3.7203646;0.7165582;0.0;0
19.39894;3.110576;40.427673;1.7112358;4.6720266;11.309961;43.82655;44.436245;10.0515785;5.159825;0.90590316;0.0;0
15.685642;4.1447973;32.760857;21.67175;3.4453707;18.34422;43.92863;6.7577844;3.2761312;2.9831278;0.5619029;0.0;0
14.479359;2.307645;14.585374;32.759243;2.8739243;35.093216;15.730321;13.82776;9.401982;2.030913;0.80373645;0.0;0
9.262549;0.9070601;16.680632;23.301647;2.4299352;42.340916;9.529397;31.48324;25.666853;4.782737;1.0373843;0.0;0
5.8087106;1.5116022;47.38992;12.279594;3.4681625;49.646584;46.360638;29.466602;42.781586;2.6484096;0.6411103;0.0;0
2.3796237;2.5989459;43.100967;23.485289;3.4627492;21.657888;35.795475;39.77311;32.835224;4.347629;1.0210688;0.0;0
18.100746;4.199738;18.294777;42.562355;0.1515532;22.933615;48.56338;31.638117;30.244698;4.1316156;1.031031;0.0;0
9.387638;0.9415904;18.976738;10.738531;4.5481405;38.42;25.099308;29.004328;37.5237;9.434038;0.63825905;0.0;0
4.4460855;3.0995343;15.235872;18.675022;1.9030207;16.400736;48.131046;22.866644;32.175617;2.2750235;0.54843473;0.0;0
6.466154;3.7915063;16.643442;49.521606;1.8310382;27.25564;6.57458;4.3733397;22.44965;3.2212024;0.95865107;0.0;0
11.794782;4.6866326;43.10304;45.68445;2.0922937;34.012356;29.723045;29.758871;40.86049;8.022711;1.0751492;0.0;0
3.9470692;0.6718481;1.0200894;2.181433;3.4578857;12.194361;25.088398;8.252978;15.854132;3.3106928;0.65343;0.0;0
17.20398;4.639319;22.084604;26.751432;1.9424869;14.339703;0.6309236;49.794548;46.44169;5.0624986;1.0478023;0.0;0
15.291131;3.047191;47.170563;3.7379448;1.9317722;18.131437;10.048487;4.385754;6.251434;7.7384977;0.62490046;0.0;0
14.529528;3.8568377;27.3605;46.233295;0.4109779;29.0954;8.096871;4.247957;32.065155;0.5416826;0.7155828;0.0;0
8.925815;0.36349607;22.797066;22.356474;2.141544;13.885565;3.5100598;39.472805;25.27556;9.587311;1.0315436;0.0;0
12.732522;2.580126;15.962305;21.212631;0.83244455;10.804305;47.43338;5.5076804;21.575203;4.896914;0.6824363;0.0;0
11.889911;3.1508853;4.158675;14.010829;4.2923875;7.9006567;48.285675;20.551275;21.77096;7.7147727;0.9534174;0.0;0
13.1720085;1.6034858;11.612081;28.65654;1.7391043;40.56084;44.641624;46.4112;2.5892725;9.247669;0.588181;0.0;0
2.1466644;2.215086;4.977691;7.677437;4.8082504;44.35559;49.449604;39.500183;37.699932;8.829639;0.72725976;0.0;0
8.608244;2.8160608;6.7716217;40.04827;3.4541872;45.283737;41.617878;12.025689;17.941181;2.5936003;1.0644425;0.0;0
1.3114763;2.8074849;8.594069;24.814913;3.8051424;41.170868;46.642963;12.925979;24.0935;5.774279;0.6357694;0.0;0
10.132821;0.30512148;15.450457;28.539913;4.743981;7.2958164;10.282741;29.817377;42.455906;4.401221;0.921021;0.0;0
6.9322934;2.2534606;1.0453256;42.119835;1.2707803;5.3387213;13.215751;24.578737;29.066872;5.557445;1.0517323;0.0;0
3.3182216;1.147709;47.532124;9.664865;2.8797257;25.208633;43.17227;6.278945;42.64611;7.9064918;0.97097284;0.0;0
2.516358;4.591806;6.629045;9.171562;0.29955643;26.310635;24.233454;8.353044;7.28543;3.8675518;1.0687934;0.0;0
11.959069;4.885242;19.46587;21.329683;0.5937176;36.77475;35.990135;40.24337;14.449968;5.033492;1.066249;0.0;0
3.826563;1.5682698;44.036613;39.41335;1.8962759;11.532598;28.3145;17.567142;11.782655;6.275802;0.56818175;0.0;0
18.539843;0.9584085;5.7751145;3.398005;3.4442592;46.58201;15.629118;40.051105;44.373547;3.0703523;0.8609976;0.0;0
11.830692;1.1755704;24.43841;39.860924;4.1752987;15.841525;14.599325;9.896451;39.18708;6.262745;0.756137;0.0;0
7.2639613;2.4409862;42.316788;25.28745;1.3563806;29.101543;37.53489;30.17191;41.78799;1.9146671;0.90964293;0.0;0
12.022852;4.3850775;28.06965;28.307291;3.7704782;43.278572;26.838709;25.502882;28.649836;6.40564;0.9455295;0.0;0
0.9446755;2.5501773;10.912008;28.437103;1.1990267;26.41068;18.28959;16.65608;11.427072;1.8607008;0.64714247;0.0;0
19.191904;0.3714211;36.907722;3.2802858;0.12967247;37.801094;31.043465;30.624563;19.161419;7.8687696;0.9799207;0.0;0
9.904917;0.29543945;34.226383;12.863654;0.36662382;37.576797;21.286911;6.6644745;27.739893;2.343201;0.7455216;0.0;0
15.763337;1.2142156;18.428202;37.887222;2.9692373;39.606052;24.016205;42.895187;1.4394395;6.638124;0.8940431;0.0;0
2.113235;4.2295794;2.7916105;20.907272;2.536023;40.64689;34.05653;37.297474;32.162292;6.0213795;0.75662374;0.0;0
9.989838;3.1452549;0.88930213;28.24559;1.4250836;19.926916;23.169277;14.705179;42.81604;4.5406485;0.70766956;0.0;0
10.068787;2.8584936;41.35695;47.270996;0.1320845;18.496035;47.52206;29.217512;16.618948;6.6318636;0.91633815;0.0;0
18.787617;1.662951;16.41709;2.7904525;2.8832507;40.273155;24.517035;45.15736;34.149582;8.541903;0.82514423;0.0;0
11.648697;4.6541843;7.31961;22.759178;4.1062727;29.195665;48.11023;21.404087;24.436382;1.6416069;1.0117544;0.0;0
9.733044;1.7227734;26.168285;18.38307;0.4358699;30.581808;42.460564;18.485409;0.6968858;6.9260755;0.9716053;0.0;0
5.7060256;4.1912274;46.08125;5.7692466;3.7087247;20.889904;44.600903;40.047882;14.557613;4.396179;1.0209998;0.0;0
6.9655952;4.4899273;0.9198028;47.56432;3.2092588;10.479925;38.282127;0.558708;26.629082;6.902285;0.95946306;0.0;0
10.653111;2.4683416;3.2791052;48.09225;2.4488385;23.118063;30.424019;34.475475;36.38297;8.812859;1.0501047;0.0;0
9.058773;4.4820175;21.143724;15.918664;0.33687264;48.4975;26.867048;11.1824;20.400671;6.7019567;0.5940001;0.0;0
0.92143553;1.4563361;33.96031;47.362473;4.6254997;14.89791;27.806929;34.865227;9.719147;2.0183618;0.88428897;0.0;0
16.612692;3.3263237;24.066973;2.2410936;2.4394608;13.964408;10.47201;22.1761;3.5219612;4.4532743;0.5494453;0.0;0
17.975136;0.53102237;44.928646;49.05435;2.058074;6.973817;11.112546;1.5046136;35.87726;5.7197623;0.79978836;0.0;0
3.2348573;2.4222777;2.6821854;41.878635;4.3212295;24.318432;2.1910105;43.775864;18.569546;1.7053308;1.0168072;0.0;0
11.303705;1.1649258;17.336973;11.109346;4.2433333;14.782254;37.405235;27.553719;32.53166;6.6143055;0.9353585;0.0;0
2.6172268;0.40754005;17.89172;30.177584;3.6635787;34.512623;6.6807437;16.023262;11.476716;7.2757983;0.8497572;0.0;0
13.608682;0.11825499;17.336298;40.01582;4.163864;7.188667;29.316381;35.31729;37.856934;7.7438955;0.91639155;0.0;0
5.984059;1.6912854;24.640453;16.305298;0.70920956;12.741968;7.3271933;25.049055;17.547115;1.6390709;0.60397345;0.0;0
13.358742;2.9887;39.633564;18.010714;3.8284862;3.561627;3.794063;2.2299554;3.0922496;7.198868;1.0584815;0.0;0
14.676395;2.3306286;16.23519;31.634151;1.7073671;2.5528097;26.912922;32.68769;25.756557;3.9787467;0.62748337;0.0;0
15.4886265;1.5786695;37.351917;7.7811556;4.3507247;40.800102;43.718246;48.491814;36.706608;2.5066671;0.6001827;0.0;0
2.6009483;4.95688;7.750041;6.351425;1.9141341;45.340965;18.122715;11.487982;46.658607;5.481288;0.58400196;0.0;0
18.36223;4.703673;28.25588;12.865361;0.36608937;38.312496;46.001762;43.21484;48.55746;5.94083;1.0617312;0.0;0
4.989173;0.7157012;19.066856;37.192356;2.1304631;43.325592;1.0102034;31.239248;23.09277;4.839258;0.77651405;0.0;0
1.2295449;2.1340263;27.190935;18.646662;3.8082075;4.7865095;23.554081;4.35597;30.787731;8.488029;0.8198391;0.0;0
11.319623;3.27935;5.8336124;25.614231;2.554567;44.957645;7.7648396;36.633762;28.082436;1.98007;0.727415;0.0;0
7.7329845;3.694105;47.69641;10.174803;3.8418062;23.568972;16.131134;22.353764;26.910309;4.367958;0.5163672;0.0;0
16.6809;1.8952236;45.357597;10.108231;0.27284133;38.54787;1.6747205;39.789833;6.1696863;3.0366547;0.5399975;0.0;0
16.260904;3.7567809;41.406616;32.69734;0.9681046;30.979986;2.2497005;31.969406;33.70782;0.9636016;0.50945586;0.0;0
6.6842084;0.70833504;44.69275;5.864575;2.8616788;17.818556;35.78428;0.6378409;48.280876;3.7211082;0.82339776;0.0;0
19.08154;1.7258818;7.7610497;33.558117;1.9880373;13.607553;32.899734;6.751712;6.776743;7.3217187;0.6160902;0.0;0
6.172898;3.6105225;25.434227;20.334742;3.432861;6.347443;10.812605;17.94576;15.936798;5.4708657;0.7412726;0.0;0
10.543614;3.1658456;16.236504;33.72791;4.816516;20.92623;45.106873;24.35179;4.313971;4.478092;0.7761948;0.0;0
5.491319;4.20233;44.425606;19.395609;3.3333237;24.958084;34.55486;46.6403;20.437754;5.0096955;0.8195469;0.0;0
18.75285;0.3295994;9.877165;42.37958;2.1450782;49.164196;17.140568;41.187626;24.34277;3.4687681;1.0356835;0.0;0
3.7098525;0.9545194;11.387295;3.2500303;2.7575836;2.3458786;20.678833;40.179966;18.221895;1.6605535;0.5259405;0.0;0
1.3757571;0.33762345;34.492367;44.718216;4.5728498;29.712383;14.981512;27.209032;24.090816;6.1090827;0.7965374;0.0;0
8.984393;1.0413597;4.900533;13.798728;3.3976474;26.487244;41.614613;5.0967536;40.24686;8.246229;0.5791185;0.0;0
19.851324;0.12098577;36.752174;2.6058395;4.0355797;1.6333615;24.951017;37.417473;11.089218;7.996006;1.0559112;0.0;0
17.887707;2.5706306;13.772301;28.33902;1.5774403;16.822245;7.197726;4.784142;38.0196;2.716747;1.050474;0.0;0
15.0978565;2.6887405;33.2163;11.605535;3.7471738;21.434908;10.484831;5.026662;39.767757;4.625733;0.5839628;0.0;0
17.870453;3.3236697;43.71537;23.230555;0.78321373;24.966352;15.180664;13.126755;29.26609;5.7451615;0.57041556;0.0;0
17.922209;1.986071;30.675762;40.214554;3.7739005;12.056076;20.456081;46.166904;16.108398;8.123296;0.5659218;0.0;0
10.617738;0.11571769;11.027844;39.681564;4.419637;2.1879609;29.835674;37.62098;46.856792;2.3668196;0.5588501;0.0;0
6.6606164;3.4020667;2.9336934;30.219088;4.511139;15.045234;48.226166;4.2943015;18.513226;1.756202;0.59485835;0.0;0
15.554242;0.36602634;2.7083917;48.90466;0.6712913;41.89991;13.465467;45.98607;2.9710987;9.350424;0.59341335;0.0;0
13.402394;4.344235;4.8961883;23.455679;4.166422;40.488964;16.755976;39.277073;7.2363486;1.8843383;0.5981006;0.0;0
7.786326;0.21100454;29.200987;2.4497254;0.638689;9.447164;1.685624;30.380318;44.633705;9.896542;0.58914554;0.0;0
2.3421001;2.6993282;17.736784;41.061546;2.444145;32.49186;18.941322;6.7846203;7.9238358;6.1902485;0.7267486;0.0;0
15.062397;4.4850974;12.533795;11.454046;3.4443555;46.220547;33.916336;16.34608;22.64601;5.240484;0.6523371;0.0;0
5.61798;2.9051988;11.355675;9.223821;2.4728208;9.019331;48.17153;15.38375;34.752594;2.2949274;0.7502473;0.0;0
18.767857;3.081242;47.454784;3.965491;1.765557;6.8694787;37.13938;32.182335;28.895412;8.674812;1.0362467;0.0;0
5.1989264;3.4398932;6.3814206;16.731047;3.4507236;1.5962402;6.3408275;29.599546;32.8419;2.1355684;0.71117944;0.0;0
2.8937798;0.69980335;15.588313;16.644869;3.338306;9.034368;44.55691;14.223429;17.766325;4.312045;0.67188424;0.0;0
16.706697;3.4071429;23.838125;15.487191;2.956174;40.790653;42.014618;15.899412;33.28069;0.95632756;1.0486127;0.0;0
3.4890442;4.4137387;0.52225155;29.86305;2.6893005;40.792492;9.856611;26.162865;0.94973594;0.7142052;0.69296455;0.0;0
3.995732;4.873682;46.08718;37.701336;3.5581255;27.252378;46.749973;42.347626;13.530887;7.430976;0.57320327;0.0;0
12.187964;2.2709548;5.4053802;46.919453;2.0748816;17.011442;35.847904;6.7481394;6.618192;2.4735565;0.871391;0.0;0
17.553959;1.7880738;34.282295;5.155479;0.43696442;40.43563;39.24946;36.424034;23.035517;6.207514;0.66907686;0.0;0
4.330476;3.791217;31.628841;7.9439006;2.7335272;10.1532545;23.227413;49.785873;7.7182426;7.3723426;0.8119754;0.0;0
6.5513115;2.760084;40.54866;29.697205;3.6449323;7.4227724;10.433843;37.61178;27.594868;5.171973;0.9607921;0.0;0
15.659394;1.3607928;32.743694;5.357712;1.5658835;4.915906;40.05571;22.35777;9.44292;6.736098;0.8393415;0.0;0
19.450615;0.94357365;38.58468;18.852833;0.7896806;42.640633;24.133415;36.71789;21.006102;2.7909107;0.98526025;0.0;0
10.264453;0.93412846;21.351807;31.415335;4.568022;35.884727;48.387802;43.10398;4.173965;8.26969;0.7068211;0.0;0
3.3060012;2.3499675;24.690872;39.13698;4.332373;31.41702;8.090058;38.540756;22.279024;2.4592226;0.60120636;0.0;0
0.7717576;0.9336096;35.232273;11.271165;3.1303277;36.50964;18.092474;1.1314963;40.49517;6.1108294;0.7368003;0.0;0
4.9782925;0.19662282;28.637123;33.565285;3.954375;7.6021953;36.90958;7.008929;16.186613;8.4407015;0.7471567;0.0;0
3.0705333;0.355235;25.821157;32.470547;4.847146;19.54706;28.82794;5.8035593;35.462677;8.035406;0.929581;0.0;0
13.714344;4.656434;10.675141;43.051;2.889369;40.798702;21.947117;2.0753844;21.586311;0.9870628;0.91210353;0.0;0
2.8757339;0.45751056;13.276359;16.0305;1.2964903;45.879894;35.22972;35.86889;12.093486;3.9882333;0.68562233;0.0;0
10.373434;0.45858538;18.245613;37.629547;3.2301788;25.898233;36.800877;13.734985;15.522191;8.599497;1.0575954;0.0;0
14.038117;2.3108234;0.9595771;37.72399;4.581509;6.542042;29.076302;36.23685;15.477624;8.583932;0.66535306;0.0;0
11.831774;1.3009914;21.15949;12.34013;3.4817262;48.936607;16.295618;33.471874;37.247757;6.5458884;1.0978783;0.0;0
4.395625;4.8171997;0.63703954;31.247313;0.22857791;20.053913;31.128593;26.418753;10.44633;1.5310463;0.5196206;0.0;0
16.180428;4.5638304;28.468264;33.920525;4.59395;16.290236;27.489504;3.4558542;48.899693;4.340539;0.90424436;0.0;0
14.450439;2.083242;35.349422;14.084207;3.7930088;6.4395504;39.98397;15.612658;34.53047;9.630944;0.87212664;0.0;0
14.910188;2.2987845;28.326357;22.8641;2.0689719;1.1251663;32.846165;1.8421801;20.357145;1.5121176;0.85095745;0.0;0
3.0556262;1.938057;34.82924;22.070997;4.93871;30.38183;25.090202;45.546;49.9012;8.113332;0.96748286;0.0;0
2.9131992;0.28554398;0.50065184;38.788723;3.6362288;30.815336;1.4258829;15.777364;11.200492;4.469298;0.8545257;0.0;0
18.58747;1.5349495;3.4423776;0.5342172;4.1446614;12.094936;8.763546;5.2000027;38.264107;7.5750384;0.86595047;0.0;0
