model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhkp;rhkf;rhk_scale;rhk_shape;man;rch;offset;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;r_rank_sfr;r_lin_sfr;r_rank_multi;MAE_multi
10;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;0.75;3.0;-8.675874495369104;-0.8931577844377898;9.75109066915148;1.6608540496220314;1.1625059998385265;1.467005250333203;0.7790940766550525;0.4156211417048225;0.8292682926829268;0.6829268292682927;0.3902439024390244;0.34519343525614854;-0.34519343525614854;-0.44194044805804766;0.44194044805804766;0.7380952380952381;0.975991343897705;0.7421101774042953;7.89326009641686
11;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.1;-6.564643157069199;0.5406471304827107;9.151370323151717;2.1294032293912437;0.7438534492530583;1.2015473005055175;0.7681519237217989;0.4133752956112729;0.9024390243902439;0.7317073170731707;0.2926829268292683;0.15089579100895095;-0.08222919972024349;-0.13651227467627589;0.2675063282574262;0.8095238095238096;0.9789232743193923;0.7445180264467496;7.380653913280235
12;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.2;-6.590199299012064;0.5402882606961441;9.137199516987863;2.1293971761401167;0.7497003275754518;1.201169719610472;0.7711137251967977;0.4134015616091786;0.9024390243902439;0.7317073170731707;0.2926829268292683;0.1508954106495187;-0.08222880051205547;-0.1365428668983195;0.2675372255830313;0.8095238095238096;0.9789249188008637;0.7468990825344938;7.3692616368960495
13;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.3;-6.613443633675895;0.5401433082734854;9.124810042672271;2.0481084043471753;0.7552577766751261;1.201004089656356;0.7691972654188572;0.41339158908845264;0.9024390243902439;0.7560975609756098;0.2926829268292683;0.15089187259673492;-0.08222555852712819;-0.1365724375305416;0.2675664117004859;0.8095238095238096;0.9789270508036524;0.7453583991836005;7.359300916281118
14;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.4;-6.639162166275471;0.5397353997737184;9.11051929035851;1.949183200499931;0.7611256487337438;1.2006108528288717;0.7714621724291506;0.4134207031551749;0.9024390243902439;0.7560975609756098;0.3170731707317073;0.1509338903580386;-0.08226796061338182;-0.13661889610415107;0.2676123563931099;0.8095238095238096;0.978922152307359;0.7471792067801108;7.3478188632855534
15;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.5;-6.671142160257496;0.5395828526676496;9.089143244709788;1.8235996673782608;0.7691752311578249;1.197464469898028;0.7707652779644449;0.4133252841252834;0.9024390243902439;0.7560975609756098;0.34146341463414637;0.1509376614444713;-0.08227092709004394;-0.13664576964385114;0.267640172858033;0.8095238095238096;0.9789228515715984;0.7466189582888768;7.330634790679551
16;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.6;-6.696642299010823;0.525296421266404;9.074918650833867;1.7621518796090072;0.774981073864685;1.1970541292787067;0.7740755266717967;0.4133512129470484;0.9024390243902439;0.7560975609756098;0.34146341463414637;0.15091415210060652;-0.0822475115110308;-0.1366681280248619;0.26766259775610884;0.8095238095238096;0.9789280763972023;0.7492801386222381;7.319195645117517
17;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.7;-6.722302771554216;0.43454729957991844;9.0605910553491;1.7623443380364847;0.780830669306749;1.1966418815431192;0.7693714890350337;0.4133773511914173;0.9024390243902439;0.7560975609756098;0.34146341463414637;0.15091579247946602;-0.08224932473809823;-0.13669914793530463;0.26769352844903505;0.8095238095238096;0.9789293842126786;0.745498461306409;7.3076776393950755
18;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.8;-6.748034190501274;0.39442423793258286;9.046318871499599;1.7616131904470649;0.7867214075414063;1.196265180419751;0.771636396045327;0.41340506934106946;0.9024390243902439;0.7317073170731707;0.34146341463414637;0.15098104276952895;-0.08231517519943823;-0.1367536807553532;0.2677471323835219;0.8095238095238096;0.9789208641960164;0.7473192689029192;7.296214158306663
19;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;0.9;-6.773569216346085;0.3801546938541378;9.032016616554433;1.7623348561174907;0.792537733877981;1.1958303213321824;0.771636396045327;0.4134285830065258;0.9024390243902439;0.7317073170731707;0.34146341463414637;0.15093936744616251;-0.08227339052912144;-0.13676854628965393;0.2677624304262257;0.8095238095238096;0.9789288522592484;0.7473192689029192;7.284709729770609
20;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;1.0;-6.799349055172859;0.36085978761218485;9.017621239308111;1.7618750774235536;0.7984149580405977;1.1954095342544866;0.7695457126512101;0.4134559552236254;0.9024390243902439;0.7317073170731707;0.34146341463414637;0.15099455415721003;-0.08232912720762875;-0.1368185254205398;0.2678115060710692;0.8095238095238096;0.9789218470852379;0.7456385234292174;7.27314563225275
21;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;1.5;-6.927480798357165;-0.08974703356477676;8.972749687973264;1.6505679000865427;0.8274992790305652;1.1990459489684424;0.7721590668938562;0.41358539482199935;0.926829268292683;0.7317073170731707;0.36585365853658536;0.1510456850222916;-0.08238124154739115;-0.1369840613254109;0.2679762512445912;0.8095238095238096;0.9789214434695819;0.7477394552713447;7.237080444844749
22;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;2.0;-7.055398189210148;-0.09077961963876646;8.97150758078573;1.5428295867266968;0.8563801249063253;1.2142462200864046;0.771636396045327;0.4137170967401472;0.926829268292683;0.7317073170731707;0.3902439024390244;0.15110563829696838;-0.08244250714886577;-0.13715231211685672;0.2681431234256883;0.8095238095238096;0.9789196003923871;0.7473192689029192;7.236091292521385
23;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;2.5;-7.18337443697185;-0.19211095910716836;8.979381592034553;1.5393752654404977;0.8852110677775237;1.2307559315046603;0.7702426071159157;0.4138420846666146;0.926829268292683;0.7317073170731707;0.36585365853658536;0.1511589206837106;-0.08249681931821923;-0.1373229715914148;0.2683128404273586;0.8095238095238096;0.978919012268384;0.7461987719204515;7.24242973801738
24;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;5.0;-7.814442187556784;-0.8574455784910526;9.378089889355568;2.058605877849004;-0.6240920121251441;2.9916674392946487;0.7045296167247389;0.412577868196585;0.8536585365853658;0.6585365853658537;0.2682926829268293;0.1513598852578099;-0.08270273542004122;-0.13806258460547935;0.26904782368218494;0.8095238095238096;0.9789213088116427;0.6933706816059759;7.562991461679231
25;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;10.0;-9.071932616432273;-1.3876152966582254;10.516557980799288;2.4542570177843572;-4.401369271132072;7.313967768314817;0.6142857142857144;0.40849044175435606;0.6829268292682927;0.5365853658536586;0.2682926829268293;0.1517033059883029;-0.08305344118426655;-0.13902323062005786;0.2700010917991317;0.8095238095238096;0.9789091379658083;0.6208216619981327;8.478284385503475
26;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;2.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.41437775705551;-0.5766442318152372;9.035787556832604;1.5864954240616385;0.9306633347595149;1.299429135396666;0.7618466898954706;0.41434835739172887;0.8780487804878049;0.7073170731707317;0.3902439024390244;0.15565802774714332;-0.09089868560207254;-0.14655039480030813;0.27031356694326425;0.8095238095238096;0.9787454247141322;0.7394491129785249;7.288481452002234
27;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;3.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
28;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;4.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.531625065833285;-0.6019496588861557;9.058951314606144;1.5173600119460389;0.9765921254308368;1.332600057181147;0.7573170731707319;0.4150601170644067;0.8780487804878049;0.7073170731707317;0.34146341463414637;0.16158533218092602;-0.10219337379088322;-0.15889123945516442;0.27287860283523063;0.8095238095238096;0.978426467262739;0.7358076563958919;7.308033069731359
29;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;5.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;;;;;;;;;;;;;;;;;;;
30;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.311514211781307;-0.5601286484602781;9.004804738540761;1.6386240635055742;0.8922455021154049;1.2712437659547984;0.7550522648083626;0.4139335893154957;0.8780487804878049;0.7317073170731707;0.36585365853658536;0.15122154119972672;-0.08256074468131203;-0.13749797125375976;0.2684863211782779;0.8095238095238096;0.9789170004585961;0.7339869281045754;7.262877776662138
31;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.311514211781307;-0.5601286484602781;9.004804738540761;1.6386240635055742;0.8922455021154049;1.2712437659547984;0.7550522648083626;0.4139335893154957;0.8780487804878049;0.7317073170731707;0.36585365853658536;0.15122154119972672;-0.08256074468131203;-0.13749797125375976;0.2684863211782779;0.8095238095238096;0.9789170004585961;0.7339869281045754;7.262877776662138
32;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.311514211781307;-0.5601286484602781;9.004804738540761;1.6386240635055742;0.8922455021154049;1.2712437659547984;0.7550522648083626;0.4139335893154957;0.8780487804878049;0.7317073170731707;0.36585365853658536;0.15122154119972672;-0.08256074468131203;-0.13749797125375976;0.2684863211782779;0.8095238095238096;0.9789170004585961;0.7339869281045754;7.262877776662138
33;500.0;100.0;1.0;1.0;3.2;1.0;1.0;1.0;0.9;5.5;1.5;3.1;1.0;1.0;1.0;0.9;4.5;1.5;3.0;1.0;0.2;0.5;1.0;1.0;1.0;7e-06;2.0;1.0;1.0;3.0;-7.311514211781307;-0.5601286484602781;9.004804738540761;1.6386240635055742;0.8922455021154049;1.2712437659547984;0.7550522648083626;0.4139335893154957;0.8780487804878049;0.7317073170731707;0.36585365853658536;0.15122154119972672;-0.08256074468131203;-0.13749797125375976;0.2684863211782779;0.8095238095238096;0.9789170004585961;0.7339869281045754;7.262877776662138
34;493.91116;99.94714;7.470555;1.6082972;6.8869286;9.594157;1.0841236;1.6582595;0.44130394;2.1252565;4.6395483;7.1986585;2.3841686;1.7158229;1.6582595;0.18478283;2.1252565;1.5993736;5.6862693;0.72747976;0.5963253;0.18478283;1.1095488;6.3365717;3.8086457;9.959139e-05;7.5537972;0.9137639;0.9294581;2.8699312;;;;;;;;;;;;;;;;;;;
35;437.89426;94.247086;5.1039734;9.991164;1.7207546;3.3806763;0.92340696;1.4216839;0.7788871;2.6121843;2.8163843;1.635549;0.8622819;9.954933;1.3956827;0.32087803;2.6121843;1.1251074;8.04163;0.8622819;1.5212264;0.32087803;1.0934633;3.375552;8.530854;1.1353754e-05;7.937437;0.93692034;1.0439174;1.5843712;;;;;;;;;;;;;;;;;;;
36;425.9843;89.7626;4.5743318;1.041554;3.8940532;1.3811616;1.3629289;6.6620784;0.52071947;3.3461616;1.3631854;2.9837239;0.6583157;6.1686378;3.4493184;0.52071947;3.3461616;1.3631854;2.184013;0.6583157;0.62547356;0.52071947;1.0895697;6.3773365;4.3583302;4.7429443e-05;6.009451;0.9648801;0.98174256;0.2431205;;;;;;;;;;;;;;;;;;;
37;495.141;62.606625;4.17164;5.4081163;4.15839;7.6462526;1.1044898;3.113114;0.41170886;4.219953;2.4293928;1.7413287;2.2220056;3.652251;3.113114;0.41170886;4.219953;2.4293928;2.1133847;1.4465287;1.44754;0.22238587;1.0300186;3.8484669;5.2185984;8.6988606e-05;4.075384;0.99696404;1.053954;0.5970753;;;;;;;;;;;;;;;;;;;
38;445.38187;52.75634;2.2247868;4.2409225;4.494461;5.035084;1.9556178;6.1765246;0.36274144;2.944823;4.8857107;2.2899947;2.0914633;0.611457;0.4056865;0.36274144;2.4314477;4.70779;3.6555061;1.2848412;0.19954419;0.36274144;1.0049766;6.6631036;5.5518384;4.9932446e-06;5.7615404;1.094474;0.99947774;1.5250025;-6.619778906596557;0.13176313373540438;9.394065072565281;1.4078076841812504;0.6823201368594423;1.090820497551383;0.7714285714285716;0.4001547121311884;0.8536585365853658;0.6829268292682927;0.3902439024390244;0.19972720478415323;-0.01018453468110142;-0.054898164585392074;0.2924209690810931;0.6428571428571429;0.9766581897795061;0.7210084033613446;7.58342128653823
39;533.96277;54.09158;3.9269674;7.9628043;9.474566;3.9458146;0.5603184;6.031299;0.8543164;7.2159324;4.506056;1.5002083;1.3949264;6.470296;0.28473172;0.11786856;6.8285728;1.1249804;4.4164205;1.2914443;1.0452924;0.11786856;1.1123742;1.0422362;3.7145216;3.4017057e-06;4.438939;1.0160669;1.0830141;0.43465474;-8.156075559965943;-0.9216560777357188;10.516714787340772;2.2436117008375334;0.8236060689192501;1.253115938135661;0.7438578262427722;0.43739703067839525;0.8048780487804879;0.6097560975609756;0.17073170731707318;0.17222758355857024;-0.10037470197454496;-0.1024175436725476;0.2759679814818205;0.6666666666666669;0.9720197235328257;0.7025785139075882;8.481629940185103
40;487.4304;2.4787574;8.901189;7.595601;1.3213302;5.3366055;1.8841166;5.3905544;0.28761682;7.0157776;3.055335;9.775909;2.1956592;9.561154;1.2082622;0.28761682;4.5902724;3.055335;5.840855;1.1478503;0.50491166;0.28761682;1.1119157;1.8775544;7.1627126;2.7826794e-05;3.611047;0.9029634;1.0153629;0.16374078;-7.8300368866174415;0.7040209372809443;10.174649370134468;1.4840526369482063;0.729689269646076;1.1319449490407991;0.8472125435540071;0.41083009946492033;0.926829268292683;0.7317073170731707;0.3902439024390244;0.1749134795061879;-0.09877875774382;-0.20412124053437197;0.2629840318357471;0.6666666666666669;0.9809227082515852;0.7856676003734829;8.207057490422798
41;566.53564;50.44748;1.8297191;6.6152525;3.7195625;9.362996;1.3442203;2.3296044;0.51337713;2.9902768;2.3153305;6.939971;2.267274;7.892259;2.3296044;0.23500998;2.9902768;2.247353;9.6500025;0.53950787;1.5904541;0.23500998;1.0188804;9.561293;1.999519;9.130212e-05;6.295186;1.0000341;0.9343497;0.13619132;;;;;;;;;;;;;;;;;;;
42;540.05304;62.75319;9.62053;1.5801207;5.432103;3.1772683;2.0678713;3.7603016;0.48110235;4.1923914;1.6560829;6.0698857;0.51842713;2.876443;3.7603016;0.3010825;4.1923914;1.1533014;2.3667738;0.51842713;0.19628786;0.3010825;1.0378106;4.3827085;8.568007;5.0199185e-05;5.910561;0.9824052;1.092737;0.37011915;;;;;;;;;;;;;;;;;;;
43;462.47333;66.211914;1.8782184;3.05533;1.7775642;2.724732;1.1677942;6.2608414;0.52415186;5.144426;1.5514756;6.955916;0.62288827;7.7209725;4.615824;0.16207379;5.144426;1.5514756;7.5517898;0.62288827;1.0066833;0.16207379;1.197795;6.070413;6.2121224;3.935777e-05;8.087898;0.93105716;1.058718;1.9523424;;;;;;;;;;;;;;;;;;;
44;566.45197;33.881805;4.194488;1.7568417;5.3518414;5.7585945;0.5362685;1.6379467;0.7005838;2.6183012;1.6228974;7.296593;1.6712726;7.312206;1.6379467;0.6920913;1.6799153;1.6228974;4.124584;0.5168714;1.8932122;0.19979016;1.0758407;1.6986843;7.0392814;9.1117865e-05;8.889356;1.0361643;0.9812641;2.2412915;;;;;;;;;;;;;;;;;;;
45;560.9529;47.65695;6.417386;9.808685;1.9641602;5.116106;2.0265553;4.2888637;0.8980634;5.2699194;3.128184;6.0944424;0.58452785;0.5252673;2.0596273;0.47126496;4.7820554;3.128184;5.51509;0.58452785;1.1095742;0.47126496;1.109593;6.3015037;1.9090899;6.0556617e-05;3.1871984;0.94569105;1.0681285;1.3024051;;;;;;;;;;;;;;;;;;;
46;477.49567;63.99475;8.524357;2.0628242;8.54004;2.2631583;0.7650768;1.9986687;0.24189547;4.02321;3.7984042;8.132551;1.7790102;2.10736;1.7752947;0.24189547;4.02321;2.5749779;7.7261834;0.66120374;0.68350786;0.24189547;1.1908619;7.7717023;9.936962;9.597443e-05;4.0591745;1.0688221;1.0857226;2.7099626;;;;;;;;;;;;;;;;;;;
47;457.66562;43.402245;2.2066035;9.701454;3.4307594;6.1839814;1.4555523;1.6644931;0.7449549;1.6863867;2.185621;6.224598;1.1882203;7.403097;1.6644931;0.7449549;1.6863867;1.5375257;8.472161;1.1738439;1.6502365;0.61933935;1.1644752;0.25449082;8.428569;5.616012e-05;5.7031856;0.9445256;1.0196109;1.4705869;;;;;;;;;;;;;;;;;;;
48;536.4991;96.25138;2.1840303;1.9256808;5.707101;6.1278625;2.165991;3.8695176;0.22861831;3.041522;4.936957;2.289326;1.5065812;8.800926;1.9064935;0.22861831;3.041522;4.425944;8.060641;0.85799366;1.4659637;0.22861831;1.0628971;6.8570585;9.36116;2.3627737e-05;3.9084034;1.0331112;1.0382775;1.52776;;;;;;;;;;;;;;;;;;;
49;427.9505;70.83877;6.618241;8.746296;6.564861;6.4094205;2.34999;3.011956;0.105991654;2.5998101;2.8672092;2.2799196;2.3339672;4.882281;3.011956;0.105991654;2.5998101;1.9790797;7.9379177;1.4762863;0.10202363;0.105991654;1.1454422;5.3369374;6.242381;3.7591744e-06;9.658041;0.9359396;1.0519626;2.0501;-7.227202798514082;0.7293911059345248;10.498487160400963;1.3913109419655711;0.563986854181197;1.0810225999486776;0.777124439954884;0.38965906809175416;0.8536585365853658;0.6585365853658537;0.4146341463414634;0.31686631379104985;0.04506809673623079;0.04326789381844254;0.475614811098345;0.3333333333333334;0.955983115863196;0.6770346804866062;8.489664786015057
