[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
487.4304;70.14937;8.901189;7.595601;50.357033;5.3366055;1.8841166;1.8509398;0.91692626;2.3385925;1.5276675;50.357033;2.1956592;2.4076114;0.7238914;0.91692626;1.5300908;1.5276675;13.068091;1.7957007;0.92622274;0.91692626;1.0059578;0.0;0
566.53564;74.9947;1.8297191;6.6152525;53.021736;9.362996;1.3442203;0.90910906;1.4186158;0.99675894;1.1576653;53.021736;2.267274;2.056265;0.90910906;0.8000222;0.99675894;1.1236765;19.416672;0.5790158;2.068899;0.8000222;0.95944023;0.0;0
540.05304;76.23769;9.62053;1.5801207;54.92456;3.1772683;2.0678713;1.3493235;1.3468941;1.3974638;0.82804143;54.92456;0.51842713;1.0003037;1.3493235;0.94685;1.3974638;0.5766507;7.2779565;0.51842713;0.6013556;0.94685;0.9689053;0.0;0
462.47333;76.58706;1.8782184;3.05533;50.86396;2.724732;1.1677942;2.1187205;1.4425597;1.7148086;0.7757378;50.86396;0.62288827;2.0202048;1.4122877;0.6379418;1.7148086;0.7757378;15.919649;0.62288827;1.4544035;0.6379418;1.0488975;0.0;0
566.45197;73.321396;4.194488;1.7568417;54.83538;5.7585945;0.5362685;0.6962913;1.8346307;0.87276703;0.8114487;54.83538;1.6712726;1.9341486;0.6962913;1.8157583;0.5599718;0.8114487;10.207641;0.53374285;2.3875918;0.7217559;0.98792034;0.0;0
560.9529;74.71282;6.417386;9.808685;51.07129;5.116106;2.0265553;1.5119581;2.2734742;1.7566398;1.564092;51.07129;0.58452785;0.5053194;0.8958843;1.3250332;1.5940185;1.564092;12.52515;0.58452785;1.5627097;1.3250332;1.0047965;0.0;0
477.49567;76.363106;8.524357;2.0628242;58.377823;2.2631583;0.7650768;0.8072827;0.81532323;1.34107;1.8992021;57.925056;1.7790102;0.83839154;0.8072827;0.81532323;1.34107;1.2874889;16.210306;0.8224075;1.1142188;0.81532323;1.0454309;0.0;0
457.66562;74.28306;2.2066035;9.701454;52.700844;6.1839814;1.4555523;0.7044594;1.9332331;0.5621289;1.0928105;52.700844;1.1882203;1.9532835;0.7044594;1.9332331;0.5621289;0.7687628;17.453602;1.1882203;2.1318278;1.6540874;1.0322376;0.0;0
536.4991;79.62135;2.1840303;1.9256808;55.23011;6.1278625;2.165991;1.3829285;0.78581846;1.0138407;2.4684784;51.432583;1.5065812;2.2475634;0.8649482;0.78581846;1.0138407;2.212972;16.767735;1.2159873;1.9378566;0.78581846;0.9814486;0.0;0
427.9505;77.05442;6.618241;8.746296;56.183178;6.4094205;2.34999;1.1190634;0.5133148;0.8666034;1.4336046;51.422134;2.3339672;1.4225855;1.1190634;0.5133148;0.8666034;0.98953986;16.563196;2.3339672;0.50213015;0.5133148;1.0227212;0.0;0
439.98163;70.01274;3.5639944;6.1291347;53.057255;4.663355;0.99201715;2.1415806;0.5158507;2.1456025;1.6911663;50.859146;1.9871178;2.0887692;2.1415806;0.5158507;0.7577697;1.5351921;5.558715;1.9367735;0.5604528;0.5158507;1.0117655;0.0;0
401.47244;70.232796;6.764969;8.468703;53.513145;3.5394435;2.176331;1.4759275;2.2921336;1.4950447;1.57196;51.97151;1.219689;1.6952081;1.3982975;0.65476316;1.4950447;0.76942;11.26814;1.219689;0.7782176;0.65476316;1.0141631;0.0;0
557.3849;76.903;8.367307;6.669709;55.10516;3.887789;2.0522165;1.9821336;2.1926591;0.8601257;2.0420625;50.417156;2.303092;0.9947773;1.201126;1.8754729;0.69943243;0.7999454;13.061785;1.1081605;1.2197435;1.423018;0.9622478;0.0;0
532.97015;74.12645;1.5995216;7.896418;58.054348;8.49265;2.347132;1.8226633;1.1519861;1.6378865;2.371254;54.316574;1.4644977;1.0300919;0.5214878;1.1519861;0.66637224;2.371254;13.230006;1.3508829;1.0261706;0.7003262;0.97822696;0.0;0
541.0331;78.39471;8.584896;7.5503855;54.52692;6.588381;2.1303053;2.4026082;1.7980828;1.3724483;2.1947036;51.99413;1.2614229;1.0740771;1.0434052;1.7980828;1.3724483;1.264319;11.260796;1.2614229;0.6373594;1.6730461;1.0346278;0.0;0
556.1458;71.730156;1.2420267;3.2677014;54.90896;4.522015;0.67899036;1.0200429;0.79994726;1.3550485;1.529681;54.90896;2.3803;2.202387;0.95178956;0.758452;1.3550485;1.529681;15.695334;1.378362;1.2738224;0.758452;1.0068737;0.0;0
491.78314;70.13827;9.079318;9.408939;55.95865;6.480729;2.388768;2.0615933;2.008176;0.9028474;2.3769114;55.95865;0.5416005;1.0819453;1.1576382;2.008176;0.9028474;0.7629713;17.605888;0.5416005;0.70658207;1.914756;0.9533398;0.0;0
513.7482;73.88082;9.778125;6.7571797;54.252113;4.0814867;0.5494104;0.87524694;2.4967864;1.7782866;1.3374959;52.827457;1.5995475;2.1449392;0.87524694;2.2600574;0.9314569;1.3374959;5.6903725;1.5995475;1.9082706;1.0382454;1.0157017;0.0;0
427.9594;77.36064;6.973842;2.7389655;57.260784;8.750096;1.1871122;2.2245655;2.389337;2.140593;0.6475903;50.78545;2.37253;1.4806355;2.2245655;1.2561585;2.140593;0.6475903;13.150645;2.0309286;1.708248;1.2561585;0.97634643;0.0;0
422.906;79.71728;9.856723;3.6849825;50.049076;7.5214515;1.2784704;2.2470264;1.7678646;1.4701077;0.76531553;50.049076;2.3697057;1.5378039;1.336339;0.73181576;1.4701077;0.76531553;14.034822;1.9855515;1.2718608;0.65211076;0.9621971;0.0;0
533.6806;78.83654;8.380126;5.7507644;54.830196;1.8186327;1.4705297;2.1348598;1.3939697;0.7975545;2.404237;53.05809;0.8118361;1.5598292;2.1348598;1.142533;0.7975545;1.5973332;16.505638;0.8118361;1.1128511;1.142533;0.9874281;0.0;0
494.21924;74.840744;1.3037261;8.9246235;59.230164;1.4111471;0.9704584;1.1420404;1.232827;1.0232477;2.3801029;53.51953;1.4111471;0.75603235;1.1420404;1.232827;0.95468897;2.1010077;17.03322;0.6752746;1.0014039;1.232827;0.9599156;0.0;0
513.04724;78.128174;0.93467957;8.150454;56.15904;1.2040985;0.74759483;0.7934368;1.0532819;1.1278654;2.3274362;56.15904;1.2040985;0.51756036;0.7934368;0.651981;0.80673444;1.1332133;9.006047;1.1320822;0.74462044;0.651981;1.0421067;0.0;0
552.99976;70.70331;1.0892663;3.6486368;54.864;1.1505543;2.174095;2.1864953;0.67119163;2.2662907;2.0029688;53.503002;1.1505543;2.0587645;1.474866;0.67119163;2.2601817;1.74518;13.027701;0.7828516;1.1351919;0.67119163;1.0102644;0.0;0
526.94366;75.722725;5.0123534;7.1652255;57.72025;5.4218807;1.7836391;1.6791575;0.91910666;1.7476791;1.8585633;53.300503;0.50952363;1.9793029;0.50314516;0.6289771;0.58985907;1.0095223;6.5301194;0.50952363;0.642265;0.6289771;0.9716966;0.0;0
510.71588;79.24298;6.5727816;0.91507715;53.930008;2.5456605;1.4497862;1.39602;1.6172915;2.3532166;2.1752393;52.05227;0.5497749;2.457723;0.7332985;1.6172915;1.6327733;1.7223265;13.317479;0.5497749;1.4662132;0.77816004;1.0022978;0.0;0
511.84143;73.96385;5.2813935;3.9270334;54.672455;7.038249;2.0492067;1.3252283;1.0436299;1.1438906;1.3905994;54.672455;0.9168634;1.4573966;1.2509525;0.5928861;0.6311758;1.3905994;7.307158;0.8657738;2.4151108;0.5928861;1.0174763;0.0;0
460.79;79.601006;7.061886;8.540317;51.9516;5.293137;2.3303142;0.70266646;1.9510418;2.2458372;1.5946842;51.9516;1.6523162;0.85988814;0.70266646;1.8228135;0.81634784;0.51997805;11.063137;1.6523162;2.1305919;1.8228135;1.0114437;0.0;0
406.16357;72.20685;4.991384;2.275931;51.242043;1.7506397;0.94785315;1.7939115;2.0355752;2.0833373;2.2966402;51.119614;1.7506397;1.3675619;0.5464524;1.1458796;1.248162;0.67268085;8.363443;1.0617018;2.3873587;1.1458796;0.9917838;0.0;0
487.34348;71.056335;1.2873306;4.1158967;50.255226;0.95306975;1.1458209;1.5416118;1.4532763;2.3977976;0.61355674;50.255226;0.95306975;0.54764843;1.5416118;1.4532763;1.4515064;0.61355674;14.561602;0.95306975;1.0420574;1.4532763;0.99533224;0.0;0
442.91693;75.24762;2.958117;0.90949416;57.31509;1.2341952;2.3686442;2.422557;2.311107;0.9835559;1.6265085;57.31509;0.85405344;1.068119;1.2136546;1.0712279;0.9835559;1.6265085;7.501141;0.85405344;1.3351341;1.0712279;1.0295049;0.0;0
481.70572;79.07247;9.93288;1.1105078;54.6819;5.7533646;1.5880867;1.850128;2.1305587;2.394347;1.2623956;54.6819;0.8711679;0.856027;1.8481225;1.548511;2.394347;1.2623956;19.693203;0.7480058;1.9608309;1.548511;1.0140709;0.0;0
570.6806;73.11279;4.047361;2.2287729;59.39353;6.238099;1.0624785;2.4312627;0.65553695;1.8188887;1.6111321;51.46276;2.2752006;0.52489936;2.4312627;0.65553695;1.8188887;1.6111321;10.200303;0.78968453;1.1675583;0.65553695;1.0123731;0.0;0
446.7879;78.0016;3.8553681;1.8269538;51.76816;4.112431;0.8164441;0.77968174;2.104985;1.9690404;2.414536;51.76816;1.9834394;1.7850982;0.77968174;2.104985;1.9207599;2.30574;19.311129;0.9035326;0.75799423;1.4399531;0.9771586;0.0;0
411.66055;71.69197;2.2904077;5.356537;52.439835;1.6179944;2.4774206;1.8649883;2.1595674;0.8717695;2.071346;52.439835;1.6179944;2.2055116;0.7782824;2.1337562;0.71058196;0.94905764;18.53856;0.6171909;1.5240614;2.1337562;0.9729264;0.0;0
456.27676;77.4557;9.883008;9.09004;56.38726;9.405668;1.5700479;2.128569;1.1932052;0.9321065;1.4531108;56.38726;0.59713244;1.6884916;0.89413977;1.1932052;0.9321065;0.70007193;15.776745;0.59713244;2.415838;0.884284;0.98115546;0.0;0
458.71875;75.57027;2.9971797;1.6702396;50.54598;4.5919943;2.2245152;1.7222954;1.4859794;2.4886436;1.8616266;50.54598;0.7948402;1.7156564;1.7222954;0.5781399;1.1393442;1.6793205;18.540731;0.7948402;2.0371082;0.5781399;1.0341929;0.0;0
532.3833;71.75017;6.786122;8.8155155;55.034134;4.8067083;1.7719933;1.7297038;0.6402276;2.0679715;1.625822;53.793118;1.6410638;1.8886318;1.4201576;0.6402276;1.0620993;1.625822;8.485265;1.6410638;1.0949091;0.6402276;1.0447475;0.0;0
511.40643;77.18087;1.2826319;6.9802365;51.235817;4.3712645;1.387328;0.8115183;1.0318395;2.2780907;0.8943623;51.235817;2.190164;2.2435718;0.8115183;1.0318395;1.5979614;0.8943623;12.068995;1.3970779;1.0924103;0.82797337;0.953961;0.0;0
556.77966;77.13756;1.5048982;2.4369433;51.613976;1.441153;2.2165964;1.1424316;2.402927;1.0243894;1.4121045;51.613976;1.441153;1.9375973;0.86152714;1.8591244;0.84147745;1.4121045;9.926516;1.441153;0.56808245;0.75469637;0.99825495;0.0;0
532.86273;75.15435;7.4224405;3.536602;55.121;7.3650723;1.2130165;1.7651017;2.366095;1.4901239;0.7217853;54.870567;1.4892011;1.23499;0.855954;1.1930902;1.1426638;0.7217853;5.165308;1.4892011;1.8676702;1.1209052;1.0026429;0.0;0
481.27737;72.25468;6.6800303;2.6670697;55.69071;6.9497724;2.0369442;1.4460174;1.8658305;1.5591486;1.4126856;55.69071;2.3367121;2.1424093;1.4460174;1.8658305;0.6221554;1.4126856;11.773975;2.0003781;0.5738209;0.5812379;1.0137007;0.0;0
562.8041;71.32294;7.089478;8.082616;52.120346;2.3966272;1.4068321;2.226069;0.5366151;1.0327832;1.3788055;52.120346;0.6001569;1.6196104;0.99274397;0.5366151;1.0327832;1.3788055;14.425289;0.6001569;1.486554;0.5366151;0.9859944;0.0;0
433.3946;79.57255;3.0018308;7.498413;52.712387;3.344099;2.2947798;2.0545795;0.54785264;0.7890404;1.8966508;52.712387;0.78442407;2.2583528;1.15452;0.54785264;0.7890404;1.8966508;10.490831;0.7503324;2.225298;0.54785264;0.97584546;0.0;0
404.54242;76.55813;9.86249;3.670125;52.841076;5.8769703;1.5064359;1.5698766;1.6901081;0.8718846;1.0388553;51.42274;0.96529067;1.873618;1.1580476;1.6901081;0.8718846;1.0388553;5.89425;0.96529067;1.7433602;1.4458336;0.99976;0.0;0
418.00958;78.092415;5.981214;1.3944424;51.4181;4.3285728;1.151634;1.7237568;0.9605043;1.137605;1.286031;51.4181;0.51833755;1.5415571;1.044648;0.9605043;1.137605;1.286031;9.459737;0.51833755;1.6655434;0.9605043;1.0131819;0.0;0
544.47186;76.9697;9.722888;2.435541;59.657207;9.981155;1.9514886;1.8127284;1.8033998;1.3439956;1.3231722;50.062267;1.3893821;1.7872958;1.8127284;0.98464835;1.3439956;1.256995;14.146043;0.89327204;0.76839304;0.98464835;1.0051405;0.0;0
492.37546;78.29474;2.3939521;6.631875;56.922;5.4179463;2.2202678;1.8104329;0.6917713;0.53744215;0.8434078;56.922;1.2819018;1.9264114;0.59580886;0.6917713;0.53744215;0.8434078;13.451872;0.7183337;0.6978176;0.6917713;0.9848211;0.0;0
432.25436;71.62491;4.5864058;1.7223926;51.108418;8.9282875;2.2020366;1.8921572;2.4749274;1.4541639;1.9650354;51.108418;0.7775588;0.783744;1.0131513;2.1529002;1.0151273;1.5573729;12.11396;0.7775588;1.5270789;2.0140986;0.998136;0.0;0
500.20895;74.969505;3.9547381;5.781836;53.5716;2.7619762;1.4568102;1.4943554;0.72938144;1.5575976;1.8385621;53.5716;0.6147466;1.9673749;0.6135792;0.72938144;1.5575976;0.78588986;12.434011;0.6147466;2.4290025;0.72938144;0.97594446;0.0;0
430.46243;76.67125;7.771182;6.477654;51.72603;5.9616113;1.380342;0.7476215;1.1734132;1.4504021;1.3015454;51.72603;0.66168153;1.3072952;0.7476215;1.1734132;1.4504021;1.3015454;14.629175;0.66168153;1.1645979;0.9055284;1.0117103;0.0;0
539.2641;71.0339;7.7029;7.158558;52.34386;3.8283381;0.79858655;2.4102867;0.6953722;1.6849618;0.8168036;52.34386;1.4069449;2.0372794;0.6833489;0.6953722;1.6849618;0.8168036;8.138006;1.4069449;1.3598523;0.6953722;1.0427083;0.0;0
489.23126;71.49957;5.3275485;2.0407374;59.39478;9.403965;0.5784867;0.5329111;1.2681;0.67923564;2.0747435;57.54113;1.9403005;1.9661875;0.5329111;1.2681;0.67923564;1.4978013;18.857857;1.9403005;1.1955166;1.1005656;1.0379694;0.0;0
476.20425;76.33983;1.0469469;5.0833235;51.36753;5.915743;2.3630412;0.53316385;1.1728556;2.2628975;1.885865;51.36753;0.7851274;0.5245963;0.53316385;1.1728556;2.2060077;1.885865;10.48287;0.7851274;1.0356679;0.784373;0.985444;0.0;0
460.30243;78.68706;2.494372;5.116909;58.79812;6.8509088;1.9504597;2.3768165;1.7914017;0.96746796;1.8283807;53.23947;1.9821185;1.6055872;0.7772031;1.7914017;0.52880126;0.86417824;13.215939;1.8952082;0.8463089;1.6061981;0.9754372;0.0;0
526.0565;76.604164;1.3574176;8.501072;58.41835;1.5917891;1.6535634;1.4887657;2.218533;1.3752278;2.3911283;58.41835;0.8374689;1.2243881;1.4887657;2.218533;0.8818266;2.349643;18.812866;0.8374689;1.6748985;1.5580722;1.0372036;0.0;0
472.36252;70.362045;8.607833;5.1653247;57.436684;5.337953;1.6668143;2.1351078;2.1204343;2.212813;2.1071255;52.24553;1.6514752;0.57028437;0.8378103;1.5048233;2.212813;1.5384731;13.479452;1.6514752;0.56752706;1.2744385;1.0433365;0.0;0
417.53;79.70433;3.5369213;4.6018414;54.96722;6.173205;0.5466937;1.2714294;1.965762;1.9313335;2.2974522;51.60208;1.1391726;1.0018203;0.67094773;1.2449383;1.5771624;1.8415611;5.893291;1.1391726;1.4619513;0.73413587;1.0341927;0.0;0
423.60117;71.395065;1.973096;2.0234902;52.583675;3.5426664;1.407503;1.3618863;2.495638;1.9441566;2.0209568;52.583675;0.73009646;2.4414995;0.7171444;2.3258111;0.9319404;1.2544559;16.342363;0.73009646;1.2312224;1.9176408;1.0012016;0.0;0
592.3795;72.32562;4.1229687;7.2196255;58.3098;7.5954766;2.3426495;1.910751;0.58720666;2.1010675;1.9909708;50.682735;1.9927093;1.5974563;1.910751;0.58720666;2.0493581;1.9909708;17.849346;1.8033007;0.8781002;0.58720666;1.0075295;0.0;0
581.7161;79.74967;1.6033328;6.5400844;58.340748;5.145878;1.4240745;1.5177038;2.0790982;2.4340005;2.0168054;54.322304;1.491893;1.8132505;1.0404699;2.0790982;1.5367762;1.5883687;16.193115;1.491893;1.6022688;2.0790982;1.0188658;0.0;0
539.9414;77.71033;9.8076;7.4242435;55.25316;6.0079246;1.6616256;2.301235;0.76061946;0.5822465;2.3907988;55.25316;1.4640473;0.6169798;1.9330852;0.76061946;0.5632968;1.3974723;6.613897;1.2442437;1.3519748;0.76061946;0.9614547;0.0;0
453.17398;79.36577;3.766572;6.8721776;50.476135;4.184466;1.2542024;1.8829857;1.7162151;2.4947844;1.5499713;50.476135;1.4414678;2.239857;1.2075078;1.406169;0.84360504;0.66397303;15.97079;1.4414678;0.5479314;1.406169;0.9877625;0.0;0
593.83527;78.0662;9.390907;8.865083;51.92961;7.056198;0.71006894;1.5545359;2.1223278;2.3698206;1.3209949;51.92961;0.97972643;0.82581383;0.8149801;1.9793841;0.9983438;1.3209949;17.27439;0.97972643;1.6836672;0.8926204;0.96732736;0.0;0
555.7502;76.51734;7.112831;8.883849;50.560833;1.8388605;1.1471375;2.1594698;1.8227848;0.7835743;2.4223895;50.560833;1.2512748;0.9337517;0.92707986;1.5438355;0.7835743;0.5936521;19.40951;1.2512748;1.0928736;1.4786737;0.99726844;0.0;0
543.37805;72.84553;6.0515738;3.6999176;51.79838;5.50667;0.67017823;1.589797;0.7291095;1.0895989;2.437829;51.79838;1.677775;1.0970608;1.589797;0.7291095;1.0895989;1.7934326;19.739399;1.2658828;1.6485906;0.7291095;0.9724477;0.0;0
489.8723;73.268814;5.2270226;2.5599496;55.084213;9.050328;1.6571591;1.0992424;0.86770976;1.8179929;2.2448416;55.084213;0.5234622;2.0275486;1.0992424;0.86770976;1.33789;2.2448416;16.782663;0.5234622;2.1205316;0.86770976;0.9891492;0.0;0
454.4483;79.47271;7.155159;9.330945;58.541733;3.040173;2.4635081;0.740765;2.2740061;2.2609472;1.6493466;52.244854;2.4852076;1.5822978;0.740765;1.6782551;1.2796092;1.5132712;9.836895;2.1505632;0.630648;1.5835372;1.048896;0.0;0
