;[-];[mm];[1/m2];[mm];[-];[-];[-];[mm/hour];[mm/hour]
8;0;1000;59;360;0.1061641;0.10088049;0.21961553;10.081929;100
8;0;1000;56;454;0.11879261;0.098736666;0.18548845;9.366674;100
8;0;1000;73;395;0.11938313;0.09037759;0.20614159;14.948149;100
8;0;1000;61;441;0.09152913;0.08180693;0.19794919;9.862806;100
8;0;1000;83;359;0.10935014;0.09925965;0.19571672;9.779466;100
8;0;1000;71;389;0.109999344;0.1183733;0.21500337;9.217661;100
8;0;1000;91;286;0.09385972;0.10610077;0.21902382;5.6682577;100
8;0;1000;85;420;0.08495479;0.09982026;0.21491435;10.929566;100
8;0;1000;65;260;0.08163788;0.084427685;0.18769203;7.279678;100
8;0;1000;91;408;0.11109372;0.09009745;0.18883191;11.37609;100
8;0;1000;90;458;0.09958799;0.09179096;0.20624295;5.5083346;100
8;0;1000;69;239;0.11942161;0.11059214;0.19156334;14.813871;100
8;0;1000;64;384;0.098598935;0.11506843;0.209389;9.690051;100
8;0;1000;84;228;0.11911668;0.11606567;0.20265682;13.967554;100
8;0;1000;56;417;0.09646304;0.11938275;0.20203635;9.755611;100
8;0;1000;59;225;0.11174729;0.119294666;0.21314187;5.603308;100
8;0;1000;50;480;0.08339277;0.11811996;0.2084213;13.222136;100
8;0;1000;89;241;0.10221847;0.08287288;0.18106312;11.481837;100
8;0;1000;83;487;0.11208239;0.085511744;0.18197836;12.817571;100
8;0;1000;85;440;0.11698807;0.09217866;0.20406234;9.281698;100
8;0;1000;89;378;0.11290333;0.10211593;0.19944768;11.379368;100
8;0;1000;72;434;0.08147883;0.08387911;0.19040738;13.56229;100
8;0;1000;78;438;0.094908096;0.11383188;0.19674625;11.310655;100
8;0;1000;56;483;0.08194794;0.10467025;0.21031642;8.476736;100
8;0;1000;55;276;0.08437129;0.10169458;0.21306446;11.625296;100
8;0;1000;83;377;0.10701223;0.086612456;0.20244892;11.718542;100
8;0;1000;73;228;0.10853033;0.09013022;0.19541478;14.605869;100
8;0;1000;78;384;0.11094883;0.08641248;0.19082788;8.709124;100
8;0;1000;88;251;0.114618264;0.11407733;0.20087674;9.250817;100
8;0;1000;81;369;0.10957726;0.10336912;0.19258998;13.121229;100
8;0;1000;77;371;0.112034865;0.109405175;0.2025638;10.057623;100
8;0;1000;77;339;0.08195855;0.09184132;0.20706609;12.365731;100
8;0;1000;65;356;0.089381404;0.09485011;0.18264318;9.597095;100
8;0;1000;51;429;0.10487591;0.0961942;0.1800427;7.1549516;100
8;0;1000;71;439;0.11432501;0.1104006;0.18849109;12.452039;100
8;0;1000;60;347;0.080180004;0.11089412;0.21578047;6.3115516;100
8;0;1000;70;379;0.10058517;0.08827254;0.20585163;6.9858365;100
8;0;1000;92;479;0.107091494;0.11766155;0.18687841;11.2682495;100
8;0;1000;61;235;0.08118429;0.084826216;0.21561056;12.472698;100
8;0;1000;52;235;0.09605422;0.11584488;0.19879824;13.946878;100
8;0;1000;64;226;0.11582539;0.084015824;0.19904368;7.725865;100
8;0;1000;64;397;0.10686451;0.090581596;0.21742168;6.1072426;100
8;0;1000;83;325;0.089506336;0.11385914;0.18237947;14.560467;100
8;0;1000;77;432;0.114111245;0.08717968;0.18860713;6.544231;100
8;0;1000;89;401;0.09392126;0.096542716;0.20343085;6.97667;100
8;0;1000;83;300;0.11413379;0.09799437;0.18781947;7.9132943;100
8;0;1000;70;469;0.09195775;0.08981036;0.20718108;10.293914;100
8;0;1000;90;428;0.10361281;0.10840981;0.18856369;13.828256;100
8;0;1000;58;281;0.0958776;0.11405338;0.18396628;12.60546;100
8;0;1000;51;309;0.090993;0.11498301;0.1882794;12.081575;100
8;0;1000;54;294;0.1154623;0.093572885;0.19690937;6.751806;100
8;0;1000;86;247;0.087503746;0.10123402;0.18704553;8.576826;100
8;0;1000;73;244;0.08339246;0.08993626;0.18538769;9.784049;100
8;0;1000;58;480;0.09367708;0.08979186;0.21441127;6.4742594;100
8;0;1000;75;331;0.108705565;0.08645016;0.19281588;7.734297;100
8;0;1000;57;314;0.11229727;0.11760076;0.19443035;8.083332;100
8;0;1000;84;418;0.119949736;0.11551955;0.18221082;6.272762;100
8;0;1000;72;365;0.09185448;0.11109435;0.19429478;10.502397;100
8;0;1000;69;480;0.09631768;0.10070646;0.19059229;12.050282;100
8;0;1000;65;434;0.08547285;0.09962431;0.2044194;5.6993165;100
8;0;1000;81;343;0.102994874;0.10118983;0.18821561;9.811231;100
8;0;1000;68;312;0.1199032;0.10146272;0.21553461;12.822112;100
8;0;1000;54;495;0.108035244;0.09738252;0.21718666;12.479901;100
8;0;1000;55;415;0.103808515;0.085270196;0.18399324;13.150731;100
8;0;1000;98;485;0.095694765;0.085026555;0.18429612;9.482407;100
8;0;1000;95;235;0.11661195;0.11808999;0.18461306;13.205571;100
8;0;1000;84;455;0.099876665;0.09928123;0.20478277;7.407531;100
8;0;1000;63;391;0.085374676;0.11812822;0.18487875;8.608106;100
8;0;1000;98;236;0.09461514;0.086543076;0.2140953;6.7635555;100
8;0;1000;88;376;0.08268667;0.10217666;0.21017087;9.674846;100
8;0;1000;85;405;0.08807916;0.08830869;0.21279235;8.9206;100
8;0;1000;72;203;0.08070675;0.090127386;0.20104241;7.4092712;100
8;0;1000;63;336;0.098131195;0.08120219;0.2198671;12.517807;100
8;0;1000;54;447;0.10538161;0.08475813;0.181767;8.138468;100
8;0;1000;95;288;0.0937317;0.11667394;0.1960506;7.728043;100
8;0;1000;72;337;0.09681527;0.09286132;0.19295746;6.308903;100
8;0;1000;60;332;0.11836837;0.10432517;0.21794581;9.388217;100
8;0;1000;65;290;0.11007853;0.09860057;0.20307444;8.029646;100
8;0;1000;78;475;0.101634264;0.096018046;0.21224764;8.692728;100
8;0;1000;58;434;0.09138163;0.101275444;0.18681365;7.3599725;100
8;0;1000;92;233;0.11587987;0.08748956;0.21914537;12.631555;100
8;0;1000;87;499;0.08940388;0.119544156;0.19994558;14.300034;100
8;0;1000;85;463;0.09301371;0.11273231;0.19974688;9.979319;100
8;0;1000;71;285;0.116362594;0.10966458;0.21883538;11.429984;100
8;0;1000;81;451;0.101181686;0.098750375;0.19522929;13.671722;100
8;0;1000;79;231;0.109692715;0.086115085;0.195901;14.9882965;100
8;0;1000;82;499;0.10362979;0.11682663;0.2033901;11.135165;100
8;0;1000;54;399;0.106137566;0.09365548;0.1851221;13.897795;100
8;0;1000;70;395;0.09197533;0.082004264;0.19284342;14.086082;100
8;0;1000;52;227;0.089654885;0.09369615;0.18772833;12.914515;100
8;0;1000;74;469;0.092899695;0.11177828;0.18413134;9.609314;100
8;0;1000;66;208;0.086217664;0.10490835;0.21464579;5.81154;100
8;0;1000;57;272;0.11497258;0.11003354;0.20357324;5.158056;100
8;0;1000;55;242;0.09132988;0.11174542;0.1943469;9.772006;100
8;0;1000;79;433;0.10245957;0.088478185;0.19634677;9.943146;100
8;0;1000;58;259;0.11167898;0.11695133;0.19726077;9.073624;100
8;0;1000;96;473;0.111352965;0.097519584;0.20532596;10.681673;100
8;0;1000;79;396;0.097535454;0.10556055;0.21707077;10.521627;100
8;0;1000;67;210;0.09905029;0.08009235;0.21731119;13.366131;100
8;0;1000;79;201;0.11978807;0.11973474;0.19565968;6.086571;100
8;0;1000;51;215;0.1069839;0.091235854;0.1931705;7.2517767;100
8;0;1000;97;381;0.11258554;0.082482524;0.19804186;12.93005;100
8;0;1000;74;440;0.11610216;0.09833048;0.20271736;13.478369;100
8;0;1000;89;271;0.11150359;0.0851612;0.19847272;14.948242;100
8;0;1000;54;454;0.08740717;0.08609307;0.20635013;13.72912;100
8;0;1000;74;217;0.10248683;0.105291314;0.20217596;13.89899;100
8;0;1000;74;440;0.084075764;0.095717095;0.19282863;8.143479;100
8;0;1000;96;478;0.10611688;0.1168741;0.19382924;9.016616;100
8;0;1000;78;431;0.118213974;0.09276626;0.19514371;7.680851;100
8;0;1000;73;409;0.100509286;0.109047204;0.18378559;11.062994;100
8;0;1000;63;451;0.0973189;0.09844398;0.18664251;14.388054;100
8;0;1000;66;212;0.08143371;0.10639805;0.20892455;8.446409;100
8;0;1000;76;260;0.11839098;0.10398781;0.19556387;10.570018;100
8;0;1000;71;237;0.08412011;0.09891136;0.18858156;7.9629965;100
8;0;1000;51;351;0.081643164;0.118002445;0.2025069;6.698;100
8;0;1000;91;423;0.08984266;0.093708545;0.21022159;6.951855;100
8;0;1000;94;389;0.08262122;0.08708942;0.19029689;5.5794535;100
8;0;1000;57;455;0.09820472;0.10712376;0.2130716;14.492935;100
8;0;1000;77;246;0.100643516;0.113840304;0.21710019;9.028796;100
8;0;1000;55;420;0.092502795;0.08161015;0.20389578;13.341208;100
8;0;1000;83;257;0.08203842;0.097985305;0.2067579;11.813294;100
8;0;1000;64;281;0.08446401;0.11569951;0.18210304;6.9192114;100
8;0;1000;82;412;0.09538017;0.10998475;0.2178208;6.7546225;100
8;0;1000;86;494;0.08242114;0.119672306;0.1956994;13.119882;100
8;0;1000;88;383;0.10792759;0.10125655;0.21695602;7.647117;100
8;0;1000;55;216;0.08828082;0.10639983;0.2031591;14.132852;100
8;0;1000;95;384;0.092082866;0.09209921;0.18018475;6.400554;100
8;0;1000;61;212;0.09576503;0.11790142;0.18154168;11.777086;100
8;0;1000;51;465;0.096664384;0.09465342;0.20721675;13.144739;100
8;0;1000;77;412;0.08006643;0.109540425;0.20250672;7.352564;100
8;0;1000;68;251;0.08448281;0.09612561;0.1810613;7.7620735;100
8;0;1000;91;227;0.11451058;0.10247276;0.2097384;14.645189;100
8;0;1000;90;255;0.08004932;0.1087913;0.21408582;7.645976;100
8;0;1000;65;494;0.100326695;0.10035737;0.1998567;9.29957;100
8;0;1000;97;337;0.09958008;0.116283454;0.1986303;9.325156;100
8;0;1000;64;435;0.09332377;0.09677204;0.18021892;7.5303473;100
8;0;1000;75;390;0.097253084;0.105882876;0.21146598;12.757911;100
8;0;1000;62;371;0.11122324;0.0936945;0.19322865;12.718493;100
8;0;1000;96;243;0.11364815;0.09632627;0.21515055;8.78318;100
8;0;1000;58;483;0.09041394;0.097602;0.19492242;13.351258;100
8;0;1000;52;290;0.09289962;0.085032284;0.20260312;7.130749;100
8;0;1000;71;373;0.08969931;0.08366895;0.19081368;5.043058;100
8;0;1000;99;409;0.099194534;0.10669959;0.18642353;10.711674;100
8;0;1000;94;394;0.10733034;0.10622071;0.21099631;14.940778;100
8;0;1000;87;482;0.08913012;0.10651639;0.19986361;5.386443;100
8;0;1000;94;244;0.09322943;0.08079066;0.20145951;7.079981;100
8;0;1000;94;352;0.11721539;0.09306187;0.21861663;10.189146;100
8;0;1000;75;321;0.081942774;0.087912396;0.2185432;13.099407;100
8;0;1000;65;342;0.09843078;0.11112606;0.21422568;5.89042;100
8;0;1000;88;235;0.10846232;0.11442522;0.18750437;8.952347;100
8;0;1000;83;240;0.08601816;0.08986721;0.2037709;12.470758;100
8;0;1000;68;283;0.081894964;0.106713966;0.2151259;8.715432;100
8;0;1000;54;291;0.08552822;0.085174516;0.19497855;6.8883643;100
8;0;1000;87;328;0.11675293;0.0910061;0.18404424;6.9549584;100
8;0;1000;63;383;0.08037039;0.08554618;0.21243851;9.100488;100
8;0;1000;96;390;0.08753288;0.09134083;0.19927055;9.79417;100
8;0;1000;62;323;0.08125134;0.10698946;0.20257571;13.618144;100
8;0;1000;56;322;0.08442518;0.11641308;0.21928577;11.422524;100
8;0;1000;91;265;0.10480597;0.088100895;0.20428845;11.904019;100
8;0;1000;57;376;0.089665554;0.10168316;0.19699918;14.829872;100
8;0;1000;58;295;0.10276848;0.108055644;0.19479938;9.118434;100
8;0;1000;79;210;0.10360782;0.1181169;0.19670478;9.033544;100
8;0;1000;93;325;0.11397741;0.10440242;0.18473597;14.23347;100
8;0;1000;59;342;0.08018965;0.090204276;0.21179003;7.458756;100
8;0;1000;65;267;0.11413478;0.10501913;0.21350868;12.298153;100
8;0;1000;88;371;0.10476477;0.092819646;0.19137588;12.545732;100
8;0;1000;98;369;0.08650974;0.11904514;0.19215186;5.97788;100
8;0;1000;75;410;0.11091749;0.095987044;0.21497338;9.682314;100
8;0;1000;57;394;0.11421966;0.10741711;0.18095881;7.005625;100
8;0;1000;50;395;0.09017054;0.0809291;0.2008183;6.8537526;100
8;0;1000;61;294;0.116751745;0.09600246;0.19854704;9.638281;100
8;0;1000;56;436;0.0981783;0.1150043;0.20760506;7.894297;100
8;0;1000;83;364;0.10413698;0.1044091;0.18653567;12.960605;100
8;0;1000;56;329;0.11938598;0.09775771;0.20673323;14.076049;100
8;0;1000;75;387;0.09446144;0.1174375;0.19506936;13.027206;100
8;0;1000;84;308;0.11252637;0.114159375;0.20474859;7.660309;100
8;0;1000;79;353;0.09273596;0.09288862;0.1816038;7.741344;100
8;0;1000;59;421;0.11196854;0.101781934;0.19846909;7.5472836;100
8;0;1000;90;465;0.10402936;0.09959297;0.20089003;6.350381;100
8;0;1000;85;476;0.08865423;0.1052881;0.18857306;14.4379835;100
8;0;1000;86;351;0.096561044;0.09336445;0.18558495;9.020478;100
8;0;1000;56;356;0.09270543;0.0897682;0.18753897;7.246895;100
8;0;1000;56;439;0.08312433;0.116506875;0.19376564;13.46671;100
8;0;1000;96;294;0.08119339;0.11695498;0.1838724;8.991953;100
8;0;1000;69;451;0.09385914;0.11373292;0.2178928;5.351168;100
8;0;1000;65;348;0.080761366;0.119128175;0.19619976;6.6194158;100
8;0;1000;74;234;0.08661951;0.10979966;0.21235879;11.392504;100
8;0;1000;83;221;0.109007336;0.11058669;0.21897669;12.829053;100
8;0;1000;97;452;0.10832365;0.11050361;0.18322942;7.109344;100
8;0;1000;64;216;0.10954321;0.09922431;0.20606677;14.173956;100
8;0;1000;96;284;0.092686124;0.098258086;0.21485636;13.509972;100
8;0;1000;51;300;0.11560078;0.08960905;0.20536938;13.483808;100
8;0;1000;77;251;0.103753224;0.10579277;0.19716105;7.2766113;100
8;0;1000;81;294;0.08504105;0.091572806;0.19724305;5.5053596;100
8;0;1000;55;422;0.08574875;0.09031234;0.18143596;13.674235;100
8;0;1000;57;204;0.10772382;0.10343845;0.20138402;8.058002;100
8;0;1000;70;448;0.08691776;0.09639929;0.21974172;11.189164;100
8;0;1000;98;456;0.10029171;0.08875427;0.2183483;12.5996685;100
8;0;1000;79;311;0.11967098;0.11264224;0.18161596;6.2829328;100
8;0;1000;96;246;0.080160305;0.1144228;0.20823188;12.808384;100
8;0;1000;90;380;0.08066319;0.08670798;0.19207059;14.385115;100
8;0;1000;73;235;0.11972338;0.08030028;0.21611957;12.28375;100
8;0;1000;89;309;0.10338555;0.0934452;0.18180458;9.412228;100
8;0;1000;50;487;0.0850764;0.111900434;0.21743496;13.766782;100
8;0;1000;55;498;0.11589209;0.11356696;0.21349902;10.274576;100
8;0;1000;91;431;0.11521521;0.085533164;0.18470018;12.447709;100
8;0;1000;89;293;0.101448014;0.11097343;0.18239297;13.205059;100
8;0;1000;61;406;0.10487168;0.084628165;0.21338831;12.493528;100
8;0;1000;76;411;0.09092749;0.095602505;0.1862303;7.8785486;100
8;0;1000;80;316;0.08202079;0.11994438;0.20139593;6.178439;100
8;0;1000;93;392;0.103782706;0.08770363;0.21662979;7.383385;100
8;0;1000;80;203;0.09179021;0.086158544;0.20269792;10.028749;100
8;0;1000;70;262;0.106544845;0.09691201;0.19588934;10.05277;100
8;0;1000;68;357;0.113449804;0.10478674;0.19780064;10.826444;100
8;0;1000;71;249;0.08072642;0.11731603;0.18252468;8.951018;100
8;0;1000;82;249;0.10382855;0.11923285;0.21875009;12.868914;100
8;0;1000;93;450;0.08925122;0.08278563;0.19242616;14.131537;100
8;0;1000;72;496;0.11495554;0.0855199;0.18757454;7.4672503;100
8;0;1000;62;366;0.09014658;0.111629516;0.1914419;12.365232;100
8;0;1000;61;451;0.1044308;0.09082529;0.21857493;11.779718;100
8;0;1000;87;497;0.10214163;0.11539396;0.18377145;10.230905;100
8;0;1000;90;242;0.09584666;0.10653813;0.21469212;6.8853025;100
8;0;1000;55;334;0.10710483;0.08447379;0.20831376;12.952323;100
8;0;1000;53;317;0.10903078;0.11330117;0.21320076;14.606263;100
8;0;1000;79;224;0.10267751;0.08705425;0.21903591;12.218364;100
8;0;1000;57;426;0.11033689;0.09693982;0.21368618;14.1786;100
8;0;1000;91;330;0.11933668;0.1020874;0.21773529;14.841852;100
8;0;1000;65;340;0.0967709;0.100030646;0.18507741;8.520507;100
8;0;1000;57;245;0.10058332;0.107446514;0.21183154;11.382236;100
8;0;1000;96;254;0.08049879;0.106107466;0.20182703;9.739327;100
8;0;1000;58;472;0.11184114;0.11968168;0.20173982;14.866287;100
8;0;1000;64;213;0.1008092;0.11997688;0.21595687;5.9380784;100
8;0;1000;57;269;0.09631845;0.10065838;0.21887216;9.123749;100
8;0;1000;55;287;0.08376288;0.08380796;0.20819353;13.75539;100
8;0;1000;51;347;0.11558626;0.10911373;0.19931753;7.840513;100
8;0;1000;52;375;0.09580029;0.119066566;0.19825615;12.877929;100
8;0;1000;58;347;0.10730326;0.092733055;0.19545366;8.827831;100
8;0;1000;52;225;0.08597497;0.09844836;0.19446397;14.799786;100
8;0;1000;79;273;0.11846199;0.09699108;0.19566028;13.835299;100
8;0;1000;84;453;0.08713767;0.08205677;0.18359013;8.013204;100
8;0;1000;69;391;0.08798168;0.106890574;0.18309744;12.701931;100
8;0;1000;65;394;0.11435931;0.09413351;0.2111948;8.368566;100
8;0;1000;75;401;0.11650331;0.11149856;0.19784291;11.063628;100
8;0;1000;93;428;0.0884859;0.113284804;0.21722738;11.584807;100
8;0;1000;92;217;0.09879204;0.11284923;0.20448884;13.295954;100
8;0;1000;52;309;0.109339796;0.09666664;0.18140703;5.2445083;100
8;0;1000;59;361;0.11513463;0.092861824;0.18630093;7.201579;100
8;0;1000;61;301;0.09516211;0.10995283;0.1882328;12.119178;100
8;0;1000;62;453;0.100680776;0.11205558;0.21902944;10.635232;100
8;0;1000;78;344;0.10966866;0.0996503;0.18874817;9.956051;100
8;0;1000;70;430;0.10924544;0.11572124;0.20063023;5.5520997;100
8;0;1000;52;455;0.1113184;0.08575635;0.21744707;8.4827585;100
8;0;1000;68;351;0.10279735;0.11516275;0.2190877;13.651002;100
