[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.2;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.3;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.5;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;20.0;0
53.365726;328.88495;170.31139;46.677067;1.5923641;1.5540432;1.2623513;1.9689736;0.49369332;203.40503;974.72406;962.51196;16.491331;5.9297175;0.64781874;1.9121127;1.2106389;1.0372366;0.97810495;0.0;0
162.7466;596.0829;880.4871;66.10443;6.9331427;0.5754304;0.68616915;0.50345564;1.0177294;425.3273;659.90155;266.5395;78.26379;1.3236401;1.010579;0.9093351;0.96203876;0.94177085;0.9993154;0.0;0
686.21844;35.27652;653.9521;58.821495;2.808288;0.3074159;1.7369282;0.20032398;1.4935898;503.21213;467.93497;983.2387;3.8126888;6.162784;1.274401;1.942595;1.9971061;1.9144671;0.8007373;0.0;0
747.3145;17.381866;581.0929;88.52125;1.7756636;1.617237;1.8210226;0.23097329;0.32543665;716.90985;734.4454;449.7501;70.14379;5.368596;1.3841803;1.966426;0.5370841;1.5564257;0.945393;0.0;0
967.83466;853.1254;753.8253;47.43708;5.0388737;0.07525722;1.4465492;1.610551;0.88060033;455.5336;440.90372;51.263046;40.21087;7.5656667;1.6922308;1.4896498;1.4150156;1.110525;0.8413166;0.0;0
332.5671;55.959805;728.73895;17.88094;7.5066547;1.3612872;1.4226782;1.2671659;1.31003;638.6388;115.621635;579.64966;26.578615;8.30667;0.44948265;1.6170205;0.45835263;0.66082686;0.75324273;0.0;0
376.7551;529.5472;119.42093;21.536745;2.70329;0.95706934;0.9913777;1.5146791;1.765088;110.50117;502.59372;531.4387;96.050064;2.248411;1.7260718;0.2371263;0.88586575;0.057288438;0.95646936;0.0;0
474.86026;618.8379;999.47144;84.62105;7.22317;0.15984562;0.16489138;1.8113408;1.3116653;766.1473;955.8479;859.71173;29.276972;1.1090206;0.21152867;0.5478595;0.76466095;1.3586558;0.8021047;0.0;0
197.57664;206.18951;942.4708;0.97122335;4.625131;1.3802369;1.9980679;0.46027583;0.16936685;13.242713;279.87576;362.11636;21.249176;9.2444315;0.13910015;0.2536345;1.5110948;0.31933615;0.842682;0.0;0
138.62228;896.77356;897.62604;86.926125;4.0436897;0.97091943;0.04095521;0.7345298;0.6499073;645.7336;62.346146;768.96747;43.2033;7.4092073;1.7434671;0.31491137;0.94025743;0.32255945;0.9038468;0.0;0
480.94788;198.19481;626.0662;5.6532497;3.6016135;1.7216016;0.99584085;1.5868185;0.70835507;828.05054;743.933;788.8579;30.294266;3.6300054;0.656938;1.5566666;0.6992229;0.2179954;0.97666276;0.0;0
234.64026;885.66986;527.5634;39.22668;1.4643538;0.42517754;0.7405973;0.52618986;0.7826642;769.125;459.86075;44.60091;72.808105;5.3713374;1.5948129;0.41735855;0.59095055;1.7632105;0.8704019;0.0;0
673.11584;765.36035;540.9158;80.037605;3.3330114;0.014576148;1.5545034;1.0170213;1.8838209;155.84425;341.35785;676.4114;3.112905;8.225738;1.5503515;0.7622029;1.6778774;1.1596326;1.2263277;0.0;0
442.7804;248.33553;24.787575;40.820778;8.793723;0.26966876;1.4742029;0.89246684;0.08104967;845.805;492.6637;484.6774;69.236626;1.6350983;1.3541851;0.8785715;0.4248416;1.6078675;1.2096481;0.0;0
834.35144;159.23672;504.4748;82.25259;1.0306475;0.546524;1.2598189;1.1946573;0.6113255;88.40386;930.6995;210.4035;42.268803;0.023014368;0.41706353;0.14607649;0.92402273;0.03993084;0.87418973;0.0;0
703.26245;323.07037;627.53186;10.119854;9.583417;1.3079664;0.1587297;1.9765238;0.98998725;75.69351;257.74677;422.72562;78.41518;5.468656;0.85507697;1.7239971;0.85265964;0.9561982;0.97436595;0.0;0
319.24298;403.97107;662.11914;51.203068;1.0838903;0.73166;0.4813304;0.21639286;0.18192808;824.38055;208.5148;858.6459;33.45632;0.94083893;1.6206268;1.6929586;0.94784695;1.2527921;1.0537021;0.0;0
833.9372;253.32683;338.81808;58.289154;3.626696;0.24531136;0.19737528;0.97443837;0.97224057;190.69519;538.5724;692.8749;1.9116101;9.622146;0.20530984;0.04811702;1.3379576;1.8329362;0.84319174;0.0;0
806.71674;998.90265;476.56952;89.09777;6.0669985;1.9633312;1.9581629;1.9183837;0.22318655;452.58838;468.67526;630.92444;76.35144;2.0453944;1.0168983;1.1884321;1.7746068;1.2022136;1.06416;0.0;0
393.6036;237.35582;639.9475;9.452779;8.380035;0.22537261;0.26428795;0.702275;1.6771866;937.26685;158.29964;90.698616;13.340587;7.3647003;0.31574628;1.2010465;0.32374662;0.271643;0.96026754;0.0;0
295.44482;832.3285;434.02246;33.92621;1.4443923;0.71668947;1.9347135;1.4837886;0.54746795;216.87407;584.85077;670.0047;47.829838;7.113651;0.21343713;1.253961;1.436067;1.4238832;0.76553226;0.0;0
685.67053;167.52657;962.51385;65.96887;1.4196112;1.7544425;0.23429722;1.8592482;1.0507922;782.7779;578.7455;760.9398;83.31625;1.671251;0.88851386;0.5247969;0.29438937;0.7193334;0.87846017;0.0;0
148.35497;980.4422;708.3877;97.99502;6.2874975;1.3087046;1.7258384;0.48880878;1.2404525;588.5954;609.3765;950.48486;92.507;0.26413545;0.62596804;0.34658766;0.02324822;0.492478;0.84165084;0.0;0
207.90912;233.26822;11.261009;84.842606;2.9345388;0.6463978;1.153514;0.1719467;0.61839396;411.6388;419.41992;800.0623;24.676256;2.3099983;1.6433727;0.18234082;0.025771486;1.699401;1.1614006;0.0;0
17.288647;427.47168;33.046688;84.664856;6.448576;1.9409901;1.6651341;0.16062912;0.7091163;464.63843;297.14825;89.143364;83.83273;5.414305;0.98104787;1.4453142;1.793173;1.1230654;0.9987612;0.0;0
789.0551;562.97845;693.3972;51.766533;8.207626;1.0071862;1.2717276;0.15525731;1.025927;416.20746;335.04517;944.09357;77.63322;1.2724115;1.484723;0.9897594;1.6941959;0.9902945;0.84003145;0.0;0
668.20233;129.08286;418.51865;56.473484;0.7779364;0.026138693;1.539986;0.7075365;1.612815;829.03;836.01355;794.0067;92.36424;9.401329;1.32605;1.2294173;0.6587262;1.6836369;1.0344716;0.0;0
708.1137;818.65186;841.07623;85.872154;8.446496;0.02226504;1.464315;0.2611671;0.91085684;815.8457;628.8458;13.305121;81.533745;7.8295603;1.9030951;1.1197382;1.3015924;1.8824334;0.9681121;0.0;0
782.92175;281.9387;181.28525;86.97559;0.38547772;1.8826085;0.52777207;0.8160014;0.98688287;379.68555;404.0434;715.55817;9.040567;2.25011;0.52744275;1.3192286;0.3084475;1.2812824;0.96376216;0.0;0
464.32663;553.7772;23.688644;80.24723;8.989274;0.56954944;1.8707461;1.5107139;1.1957712;700.2761;617.1343;310.93066;94.443954;1.139408;1.5637854;1.4138931;1.5106353;1.6915563;0.8507119;0.0;0
573.0538;554.13745;394.20154;81.87527;9.756425;1.6260092;1.2908558;0.60347015;0.8561708;536.5484;356.1178;608.98145;2.568051;0.68501353;0.3833707;0.4311717;1.9968024;0.8502554;1.0695716;0.0;0
148.39903;606.61426;738.7035;87.97502;6.6778774;0.09668444;0.4121474;0.9640422;1.454896;750.7364;864.0214;289.9592;34.421253;8.198441;1.7259426;1.3790637;1.8898904;1.8079562;1.1601483;0.0;0
123.38477;64.93113;972.01044;11.466815;9.8427105;0.30236503;0.6190236;0.2634639;0.019766139;59.54594;730.3557;732.7438;38.984596;8.822376;1.7482913;0.5592946;1.2715253;1.4415032;0.99252695;0.0;0
671.71893;176.93257;884.8173;29.334673;8.221699;1.7149912;1.0707715;1.3995966;0.9712093;342.67395;109.93917;194.85986;48.57796;5.2650204;1.6366856;0.0651113;0.89949983;1.8222369;0.8243886;0.0;0
476.38525;169.58032;489.23386;97.61374;0.45321134;1.9882417;1.7648352;0.6421728;1.8468022;342.44827;65.608315;836.1882;23.599396;5.6505547;0.6488301;1.6396227;0.73916286;1.7292134;0.8808119;0.0;0
569.58374;309.03076;814.6891;54.52314;0.048071332;0.11332663;1.5955387;0.2790993;1.2356485;600.8441;43.083233;82.17227;12.467361;4.2277956;0.30196968;1.5057229;0.56051546;0.71740043;0.9069663;0.0;0
767.3489;153.46501;79.62715;17.728739;0.21777691;0.3435976;0.6110755;1.9097944;0.9779355;215.55998;37.258102;33.852234;83.72105;7.987221;1.6880628;1.5075365;0.18033566;1.7701559;1.1915727;0.0;0
638.37115;922.7021;576.5496;50.35526;4.5245504;1.4485947;1.3800877;1.5415487;1.5463294;536.3769;501.9409;140.6074;64.21777;8.737765;1.1832616;0.7576813;0.4270111;1.0947729;1.0619198;0.0;0
558.0436;517.8249;925.0554;64.61384;6.237592;1.0637109;0.013297092;1.3081322;0.79207146;980.0609;189.0334;390.69952;47.54182;3.1470726;0.90154;1.5493817;1.121705;1.5923665;1.2133042;0.0;0
563.6151;627.3394;402.4213;82.83938;4.8199034;0.8178724;0.6719557;1.4487693;0.9398188;53.070873;677.78754;660.11566;77.48288;9.006341;0.8311022;0.5869097;0.5509118;1.4218374;0.91097265;0.0;0
310.91058;363.9133;960.49963;81.23646;6.774532;0.3969904;1.6807945;0.85672975;0.39836785;508.4094;487.9347;485.7922;91.52419;2.4246304;0.21165313;0.6030604;1.4537866;1.849297;1.1864593;0.0;0
40.509655;283.48367;228.47824;5.019225;4.50153;1.8914163;0.31089038;0.6036789;0.25716627;146.90546;102.54212;480.9528;22.470264;2.2119217;1.297442;0.7381893;1.5378972;1.4110827;1.1458343;0.0;0
442.35022;508.1454;114.57747;45.407146;0.4352124;0.3528144;0.7132566;1.0049734;0.060790222;586.5772;15.773521;866.92395;32.35875;8.514499;1.0464038;1.4498261;0.95850986;1.4439514;1.2244494;0.0;0
222.43883;301.37973;529.5147;2.1548488;2.2694054;0.5378466;0.012076201;1.6522634;1.4657028;248.45421;46.3575;563.67554;93.438774;5.2079597;1.9229444;0.5041057;1.8120514;1.9938681;0.870889;0.0;0
414.44336;350.20947;908.1744;88.8268;9.926316;0.65535325;0.056034125;1.9279474;0.9416983;903.4837;538.00336;512.53094;54.449932;0.5329401;1.3533773;0.15793562;1.632406;1.7392473;1.2235868;0.0;0
854.869;458.22336;318.1664;17.473217;3.4651797;0.28578055;0.3005778;1.2145098;1.879313;324.81107;590.7383;425.23618;28.195803;1.0282207;1.9316064;0.5258861;0.16475925;1.2287087;1.0797222;0.0;0
241.6001;510.67636;802.1587;62.524982;3.2544098;1.0771037;0.21270747;0.75895566;0.36186394;958.7297;359.48425;978.6298;15.906383;2.8886507;0.28828335;0.9238474;1.6069602;1.5037643;1.1172601;0.0;0
67.71971;984.4709;177.5053;57.104774;1.5363926;0.6892369;0.9845614;1.43923;0.49552703;14.093402;88.11148;250.38133;98.872154;1.7918305;1.3681633;0.6446121;1.6612694;0.5179695;0.84294236;0.0;0
288.57007;231.08936;748.1147;62.59039;9.871566;1.2196165;1.8010087;1.397165;1.2810646;833.7936;935.342;164.01064;53.54889;9.963387;1.630426;1.442249;0.6997392;1.1015866;0.8580266;0.0;0
300.6578;493.0964;561.45667;56.38532;2.3122885;0.7420376;0.178437;0.5024539;0.11864939;269.06683;411.65652;497.4443;86.23953;7.1764646;1.2261839;0.16402183;0.9910496;1.9634584;1.2471609;0.0;0
665.29736;158.01662;183.2668;71.58731;6.4717975;0.24168283;1.7409754;0.8766729;1.0117924;209.60625;435.0155;680.98663;63.636063;4.3922772;1.2335553;1.315329;0.14952648;0.35181737;1.1419928;0.0;0
561.46185;356.49924;720.9064;62.648384;0.4300541;1.7464688;1.3396341;0.2766871;0.2559272;885.3042;387.64307;31.451185;44.422035;8.070957;0.3199607;0.6344759;0.5391803;1.7942011;1.1945227;0.0;0
786.0592;720.13763;716.6185;9.120995;0.67405856;1.0242076;0.3461008;0.8105339;0.33118093;311.3302;68.872696;858.42236;85.84399;2.9477289;0.6492194;0.37584114;1.9034123;1.4895916;0.8810973;0.0;0
667.6704;182.71753;520.2809;36.74012;7.1703496;0.6504825;0.5865756;1.5278702;1.0290787;588.0396;713.343;290.285;35.71517;0.30016756;1.268776;0.47414926;1.8667645;0.5857494;0.997531;0.0;0
412.323;585.5378;233.21297;54.704685;6.35533;0.042565856;0.39642513;0.63466644;1.1424509;739.41174;668.16205;648.93036;76.87036;3.6573198;0.9512872;0.40513322;1.3690014;1.8933679;1.0147872;0.0;0
815.8802;422.53403;140.97095;32.587223;6.8048224;1.1997144;1.580704;1.2697351;0.43194914;425.0097;172.81987;181.5534;45.396263;3.5865116;1.7274386;1.7232769;0.04643198;0.85637635;0.88319576;0.0;0
175.30319;61.063747;957.6825;76.05705;2.3173943;1.5671836;1.4529498;0.6620228;0.5497649;110.32459;275.89648;873.2004;89.749245;1.4099997;1.5568066;0.5979488;0.057613377;0.94921917;0.8222601;0.0;0
32.48495;933.7445;659.2544;31.857983;9.849041;1.3036219;0.6157746;0.3027363;0.5753741;923.11365;551.4506;365.30295;50.371475;6.308543;1.0745273;1.627497;1.1941575;0.9701021;0.84297115;0.0;0
99.147385;419.4671;811.14905;82.88555;5.5881677;1.5775614;0.11812532;1.4853612;0.29220155;651.0259;382.99857;195.09154;32.649117;3.872065;1.227638;0.58738357;0.4682018;0.39852807;0.90940124;0.0;0
725.13574;786.0873;700.0008;14.758698;9.695786;0.3184218;0.3457941;1.1827314;1.9317845;893.47345;997.9499;29.547113;72.60185;2.9914396;1.3161647;0.017460523;1.3068827;1.2798034;0.9609989;0.0;0
467.25845;422.15036;831.17896;76.96232;1.6500639;1.9436889;1.263454;1.6526607;1.3874779;770.04944;501.51285;315.69757;86.027374;6.048101;1.3138807;0.023606975;0.20081249;1.0478469;0.75936055;0.0;0
169.65906;937.9867;170.8659;18.428198;4.056944;0.43055326;0.18984188;1.3611187;0.23057525;776.2419;883.40704;385.41687;85.11673;7.2294297;1.3951963;0.74179065;1.9750527;1.9657445;0.988541;0.0;0
506.03433;297.56564;501.9807;52.84873;3.3634984;0.5408914;1.0775664;1.6362123;0.7207488;593.98364;212.56665;44.76648;47.892673;9.907041;0.9993836;1.7098529;0.23823452;1.5525928;1.0143994;0.0;0
160.78899;418.10834;670.45355;32.120384;7.5531983;1.0295358;1.2297287;0.31834668;0.35347956;16.131964;560.6588;559.80664;44.073082;8.852001;0.25638336;1.1875186;0.6800461;0.88210034;0.9876005;0.0;0
699.3572;761.2756;112.356;63.76971;7.4782386;0.020339098;1.3786297;1.2330215;0.47642842;883.8317;328.57745;460.1584;15.014398;0.16457902;1.9107352;1.3622167;0.20439535;1.7800192;1.0462404;0.0;0
451.6947;350.23065;158.45738;21.352766;4.8705726;0.8904725;0.25945795;0.7410834;1.8795608;832.615;935.1566;498.13184;4.020409;1.526159;0.04274654;0.83520633;0.77425957;1.850281;0.7948089;0.0;0
387.21103;370.7135;637.64276;79.56143;0.17131856;0.3994933;0.9248147;1.4955479;0.28213838;729.73883;555.6687;142.13815;93.158905;5.4575496;0.042998005;0.5578758;0.67949134;1.1492847;1.1907244;0.0;0
308.49698;994.87494;870.01874;57.401028;1.760305;1.5005461;0.9321593;1.1643713;1.7608254;879.3778;657.40656;389.24576;72.55046;4.638463;1.8774325;1.2894448;1.2949448;1.9203858;0.866867;0.0;0
633.9798;560.0584;663.812;95.73159;0.51215404;1.5179292;1.6722124;0.11781839;1.6852517;192.36598;85.260574;968.1637;57.72049;8.730637;0.9938219;1.1631099;1.7199403;1.0450114;0.9688069;0.0;0
368.1945;692.48663;45.842766;71.20586;8.471676;1.2353123;0.9427469;1.0717565;1.4898999;289.04022;492.8103;363.84155;58.382374;8.147716;1.6369323;0.07931253;1.6223321;0.44649914;1.1782032;0.0;0
96.77342;647.0276;970.7286;60.778816;2.904818;0.8491535;0.8195236;1.4911398;0.9984768;165.55025;583.67834;795.0316;2.4323492;5.292735;0.7775722;1.1106602;1.4684331;1.055121;1.1078334;0.0;0
126.82584;829.6449;148.11183;82.93295;1.1880472;0.6273657;0.25568628;0.5329489;0.5241516;650.15265;297.49887;132.92448;45.429775;9.491471;0.8675768;1.2651672;1.9956597;0.97980577;1.1110392;0.0;0
962.2787;863.20685;240.23662;22.04629;3.548182;1.6566494;1.3919841;1.3125077;1.6636499;444.008;738.409;131.59328;92.140335;3.6010005;1.4136972;0.74315864;0.09677062;1.0298897;1.1502669;0.0;0
909.4949;567.6236;975.2176;63.31097;0.7821203;1.0191163;1.243381;1.6834422;1.6698092;111.61768;471.91418;998.93646;46.257523;6.5241776;1.0226153;0.6904872;1.5812027;0.35923454;1.2335001;0.0;0
702.7101;301.6105;773.3227;39.101345;9.788783;0.9979689;1.4367301;0.13968341;1.0553788;579.8807;565.6973;651.87933;58.1232;6.963323;1.8022289;1.5769699;0.26931638;0.41613;0.77056164;0.0;0
273.21127;32.572247;937.21094;74.40472;3.156929;0.23573145;1.3160037;1.1602645;0.10475064;345.5959;367.321;668.1861;37.772408;5.0900874;1.3860707;0.7480456;1.2201341;0.7940903;1.2486961;0.0;0
969.4846;618.2592;808.55347;2.544494;9.331336;0.44458225;1.7518148;1.7763258;0.39399275;495.60278;679.74023;431.66464;10.592943;2.165169;1.0592632;0.58003056;1.6242161;1.513726;1.2174551;0.0;0
780.9634;827.2142;655.2171;42.828438;6.8304596;0.7273737;1.7559187;0.26157558;0.12160608;268.76807;112.13977;763.53485;32.42452;1.5578609;1.6611726;1.5715646;1.3261708;0.4711496;0.8208936;0.0;0
719.7213;456.0344;291.70746;65.20502;5.6654086;1.4007171;0.62228966;0.5458029;0.36787766;169.53725;511.16516;928.8956;8.600403;1.6238765;1.0943481;1.9698372;0.23796396;0.17183019;0.8973997;0.0;0
454.8679;173.05908;333.61264;46.11787;4.760215;1.6920893;0.373;1.2555889;1.0217583;456.30627;896.684;91.18321;57.900097;3.88528;0.60624623;0.37772515;0.3758712;0.5417654;1.0794983;0.0;0
279.51913;295.20126;947.79834;23.873362;6.8769274;1.9857919;1.8536903;1.174516;1.7098051;233.88689;242.83203;180.6775;98.17724;6.7144914;0.24956115;0.76307577;1.7751361;0.7998641;1.1902368;0.0;0
105.427055;514.88904;862.01935;46.48849;6.8658905;0.86058986;1.4289494;1.5888582;1.3099413;410.96347;869.76355;867.41144;36.3336;3.1071875;0.70759565;0.015220513;1.8222734;0.12046628;1.0210997;0.0;0
903.57635;838.3144;365.89554;84.98948;0.1151054;0.9118767;1.942245;1.2618152;1.205797;388.45258;886.2011;88.35021;85.85809;8.606933;1.2727784;0.9766098;1.4954436;0.82593274;1.0064944;0.0;0
461.21854;180.03561;379.53473;20.763218;9.078759;1.5344604;0.99894184;1.1559316;1.4984275;941.0209;238.12747;365.54315;4.373809;5.963208;1.963558;0.5728399;0.5942234;1.1782098;0.8098337;0.0;0
210.33974;616.0284;304.71744;36.7805;3.6859546;0.6492417;1.9248643;0.9091843;1.2834238;194.97614;89.91736;92.374344;50.55135;4.5459146;1.4936237;1.6529918;0.50842434;1.6508479;1.111938;0.0;0
312.89706;755.8349;332.86884;99.034515;3.5391984;1.0856308;0.2542104;0.16571607;0.89242023;293.57794;766.77423;413.89108;65.48137;3.2210562;1.2417413;1.8323861;0.15344438;0.9738594;0.999665;0.0;0
583.42737;936.6871;862.0608;91.290436;4.0718393;1.3572645;1.1848254;1.1862657;1.6325732;793.9457;958.9962;452.68878;31.99078;1.1428132;0.41275015;0.24117999;0.9410768;1.4648111;0.80215985;0.0;0
185.00505;125.53665;20.401789;3.4934373;6.855975;0.48013693;0.99850327;0.3216854;0.6272671;302.90378;263.1595;188.33098;9.924886;5.5052032;1.4169296;1.7289679;0.7952877;1.3588568;1.2061591;0.0;0
858.04816;927.12775;441.6921;53.080162;3.7664173;0.566384;0.0152633935;1.9917405;1.8569486;485.4604;913.8739;90.82836;21.86825;3.7878656;1.0506825;0.4378216;0.49768522;1.0852923;0.8686974;0.0;0
760.9343;605.4529;943.41125;6.6347613;3.7445724;0.7188194;0.39386845;0.16621517;0.24121925;764.32764;216.08574;423.21347;7.0939736;9.628955;1.4805454;0.6228422;1.3039244;1.1242882;1.0163574;0.0;0
722.2683;769.03455;547.21;92.3981;0.6440141;1.1595929;0.31540957;0.16067545;1.278983;14.343764;365.7116;519.3451;88.833145;7.426795;0.7373062;1.7726277;0.42209268;0.5873401;1.1670214;0.0;0
437.7721;63.23696;455.94135;44.21034;4.1722503;0.54812676;0.13101049;1.5767856;1.0060276;956.9934;887.04694;739.66113;0.557746;1.3608773;0.96147966;0.73683894;0.18693078;0.3015705;1.087433;0.0;0
631.03577;511.08667;319.2461;41.901855;1.5032899;0.42425388;1.8968166;0.21131887;0.8572657;468.2047;311.01987;728.7361;7.03027;5.5650325;1.0567926;0.04356118;0.8703407;1.0644523;0.867304;0.0;0
588.257;626.4034;83.1735;27.367308;8.557337;0.30752134;1.9310807;0.8161018;0.8651356;761.8553;758.1387;79.218185;79.58941;8.739952;0.73057353;0.113094255;1.4568521;0.5481618;1.2498099;0.0;0
653.34814;313.7655;232.24161;56.925014;3.3517656;1.6205267;1.7845825;1.855723;0.09399297;921.5992;155.49866;443.58472;30.043032;9.392952;1.1616452;0.6819715;0.37605813;0.74654853;0.7964386;0.0;0
93.59988;437.3337;99.553825;14.585372;9.609065;1.7730833;1.977873;1.5778861;1.5055125;878.03613;384.97858;845.3312;36.53951;9.315931;0.55997616;1.7699952;1.1798047;1.5010676;1.1527171;0.0;0
421.64932;558.7551;135.43243;79.9156;6.848435;1.8103967;1.6630218;0.47335598;0.7111707;228.17519;941.3302;601.0195;30.738033;8.172991;0.16192159;0.18646212;0.18395472;1.3438163;0.9820793;0.0;0
51.198032;557.02246;171.88138;49.171913;7.563954;1.645051;1.8650403;0.50954944;0.95850635;559.6354;234.01955;856.30884;89.081604;2.778838;0.36497876;0.3991932;0.5446695;0.30416352;0.78608406;0.0;0
499.0509;51.44291;309.00912;56.689644;9.478034;0.28320557;0.40328595;1.1886178;1.6967123;416.54825;704.68463;951.3505;92.88101;6.324849;0.99339503;1.9350052;1.6714923;0.26856345;0.87131846;0.0;0
336.5626;445.08694;20.906513;84.0964;2.3969584;0.20452636;0.52119887;0.9780139;1.158446;537.039;920.3583;340.93253;92.8885;7.1026263;0.14355847;0.82882875;0.30220613;1.7146606;0.7916611;0.0;0
153.07895;221.67998;950.64246;18.596363;5.6772366;1.003337;1.7255116;0.24232526;1.7043588;781.8344;787.10516;141.6267;30.803598;8.34257;0.7794857;1.7465664;1.3357066;0.78307486;0.8534804;0.0;0
112.368935;917.52814;132.5809;17.600788;0.41685078;1.0476396;0.96413285;0.3257082;0.282788;360.93436;948.50916;93.08381;20.117855;8.864036;1.3546213;0.7729322;0.03841968;0.37251905;1.1923586;0.0;0
591.7681;976.8142;389.31738;42.13809;1.0165793;1.4683181;1.4367751;1.6077636;0.57081693;482.43762;944.3109;135.15535;82.816826;5.3170056;1.0291438;1.04143;1.1024469;1.2299896;0.896236;0.0;0
178.88704;306.65042;880.7323;78.63421;3.6722033;0.4535327;1.1281991;0.6961336;0.4635855;611.8994;122.49992;685.66003;84.91159;3.2405143;1.1116052;1.8944039;0.49241254;1.9352704;1.0554044;0.0;0
