[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.8;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;0.75;1.0;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.1;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.2;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.3;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.4;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.5;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.6;1
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.7;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.8;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;0.9;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;1.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;1.5;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;2.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;2.5;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;5.0;0
500.0;75.0;1.0;1.0;60.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0;1.0;1.0;1.0;1.0;1.0;1.0;40.0;1.0;1.0;1.0;1.0;10.0;0
493.3442;79.25691;4.058698;7.4517884;59.392452;3.2885656;0.96558505;1.4698793;1.4470032;1.206986;1.3198524;50.08556;0.6301498;1.4291902;0.5828682;1.1553286;1.1812719;0.7754189;38.85353;0.6301498;1.2219388;1.1553286;1.0276113;0.0;0
408.76074;71.61931;2.3413928;6.6268325;52.43062;9.767665;0.6640774;0.82051194;1.1033361;0.95620984;1.4332157;52.43062;1.3684189;1.4457804;0.82051194;0.7829142;0.6599385;0.74547946;36.207733;1.0478475;0.7120651;0.7829142;1.009712;0.0;0
430.8579;78.7928;7.206366;3.99203;55.06397;6.8738422;1.2824203;1.0028036;0.97841144;0.99863076;1.4618502;53.58158;1.4523345;1.1458846;0.8976267;0.68073153;0.60666084;1.0469897;33.014145;1.095225;1.4631612;0.6071403;0.9619032;0.0;0
536.6098;76.50457;3.448991;8.7970085;57.455223;5.109301;0.53716403;1.1353773;1.4985458;0.60147464;0.61897224;56.949894;0.55226225;0.9408005;0.6166886;1.039982;0.60147464;0.61897224;35.00983;0.55226225;1.0212566;1.039982;0.9783407;0.0;0
548.95245;75.768616;2.5083623;9.1815605;51.58511;7.5590434;1.2011391;1.1905428;0.7648664;0.89078605;0.89108545;51.58511;1.4622811;1.0349598;0.85167646;0.7648664;0.77720416;0.6440975;37.87036;0.6133378;0.901856;0.7648664;1.0216125;0.0;0
593.50195;77.51339;5.480856;7.4691443;54.374874;4.860832;0.90151024;1.3453422;1.206038;0.6826331;0.62232125;54.374874;1.2420607;1.31459;1.0444759;1.206038;0.6826331;0.62232125;39.853653;0.59997123;0.9004919;0.8450771;1.0205326;0.0;0
465.16507;77.25999;7.7287846;7.3599863;56.532814;1.8708656;0.7650512;0.7208456;0.7253028;0.50648546;1.4343433;52.19897;1.4229953;0.74110186;0.626999;0.7253028;0.50648546;0.60056144;36.770252;0.72031575;1.0412613;0.7253028;0.9573882;0.0;0
474.09195;71.10526;3.3533473;5.387707;58.81954;5.4278817;1.460461;1.3623476;0.9401336;0.9129387;0.95222944;58.81954;0.5247999;1.4192404;0.55979246;0.9401336;0.9129387;0.95222944;34.739277;0.5247999;1.2046679;0.72711295;1.0364114;0.0;0
493.91116;79.99466;7.470555;1.6082972;56.54103;9.594157;0.7920618;0.6012707;0.8792266;0.6042094;1.4098871;56.54103;1.4420843;0.62798136;0.6012707;0.5942032;0.6042094;0.6498434;40.413933;0.72747976;0.76122385;0.5942032;1.0047743;0.0;0
437.89426;79.4189;5.1039734;9.991164;50.80084;3.3806763;0.7117035;0.5648745;1.254319;0.68536407;0.9540961;50.706165;0.68114096;1.4952562;0.5648745;0.74542004;0.68536407;0.5312768;45.648067;0.68114096;1.248014;0.74542004;0.99673164;0.0;0
425.9843;78.96592;4.5743318;1.041554;53.215614;1.3811616;0.93146443;1.371089;0.96746606;0.8076936;0.59079635;52.204136;0.5791578;1.0966988;0.838315;0.96746606;0.8076936;0.59079635;32.631138;0.5791578;0.776565;0.96746606;0.99478483;0.0;0
495.141;76.22289;4.17164;5.4081163;53.509323;7.6462526;0.8022449;0.82509446;0.84634316;0.9533255;0.8573482;50.8237;1.3610028;0.8318159;0.8051277;0.84634316;0.9533255;0.8573482;32.47419;1.3610028;1.2092316;0.6359843;0.9650093;0.0;0
445.38187;75.22791;2.2247868;4.2409225;53.882736;5.035084;1.2278088;1.2963884;0.79193497;0.74080384;1.4714277;51.433327;1.2957317;0.51173234;0.5308774;0.79193497;0.6552413;1.4269475;35.901123;1.2848412;0.5523917;0.79193497;0.9524883;0.0;0
533.96277;75.362785;3.9269674;7.9628043;59.416187;3.9458146;0.53015924;1.274046;1.3381293;1.4526553;1.376514;50.555786;0.9474632;1.1284522;0.5186598;0.51985395;1.3880955;0.5312451;37.592045;0.9474632;0.9975223;0.51985395;1.0061871;0.0;0
487.4304;70.14937;8.901189;7.595601;50.357033;5.3366055;1.1920583;1.1754699;0.70846313;1.4192963;1.0138338;50.357033;1.3478296;1.4538057;0.6119457;0.70846313;1.0150454;1.0138338;40.757454;1.1478503;0.7131114;0.70846313;1.0059578;0.0;0
566.53564;74.9947;1.8297191;6.6152525;53.021736;9.362996;0.92211014;0.70455456;0.9593079;0.74837947;0.8288326;53.021736;1.383637;1.2781326;0.70455456;0.6500111;0.74837947;0.81183827;49.22223;0.53950787;1.2844495;0.6500111;0.95944023;0.0;0
540.05304;76.23769;9.62053;1.5801207;54.92456;3.1772683;1.2839357;0.92466176;0.9234471;0.9487319;0.6640207;54.92456;0.50921357;0.7501519;0.92466176;0.723425;0.9487319;0.53832537;33.037273;0.50921357;0.55067784;0.723425;0.9689053;0.0;0
462.47333;76.58706;1.8782184;3.05533;50.86396;2.724732;0.8338971;1.3093603;0.97127986;1.1074042;0.63786894;50.86396;0.56144416;1.2601024;0.95614386;0.56897086;1.1074042;0.63786894;44.559532;0.56144416;0.97720176;0.56897086;1.0488975;0.0;0
566.45197;73.321396;4.194488;1.7568417;54.83538;5.7585945;0.51813424;0.59814566;1.1673154;0.68638355;0.65572435;54.83538;1.0856364;1.2170743;0.59814566;1.1578792;0.5299859;0.65572435;36.94352;0.5168714;1.4437959;0.61087793;0.98792034;0.0;0
560.9529;74.71282;6.417386;9.808685;51.07129;5.116106;1.2632776;1.0059791;1.3867371;1.1283199;1.0320461;51.07129;0.5422639;0.50265974;0.69794214;0.9125166;1.0470092;1.0320461;40.033535;0.5422639;1.0313548;0.9125166;1.0047965;0.0;0
477.49567;76.363106;8.524357;2.0628242;58.377823;2.2631583;0.6325384;0.65364134;0.6576616;0.920535;1.199601;57.925056;1.1395051;0.6691958;0.65364134;0.6576616;0.920535;0.89374447;44.947075;0.66120374;0.8071094;0.6576616;1.0454309;0.0;0
457.66562;74.28306;2.2066035;9.701454;52.700844;6.1839814;0.97777617;0.6022297;1.2166165;0.53106445;0.79640526;52.700844;0.84411013;1.2266418;0.6022297;1.2166165;0.53106445;0.6343814;46.6048;0.84411013;1.3159139;1.0770438;1.0322376;0.0;0
536.4991;79.62135;2.1840303;1.9256808;55.23011;6.1278625;1.3329955;0.94146425;0.6429092;0.75692034;1.4842392;51.432583;1.0032905;1.3737817;0.6824741;0.6429092;0.75692034;1.356486;45.690315;0.85799366;1.2189282;0.6429092;0.9814486;0.0;0
427.9505;77.05442;6.618241;8.746296;56.183178;6.4094205;1.424995;0.8095317;0.5066574;0.6833017;0.9668023;51.422134;1.4169836;0.96129274;0.8095317;0.5066574;0.6833017;0.74476993;45.417595;1.4169836;0.5010651;0.5066574;1.0227212;0.0;0
439.98163;70.01274;3.5639944;6.1291347;53.057255;4.663355;0.7460086;1.3207903;0.5079254;1.3228012;1.0955831;50.859146;1.2435589;1.2943846;1.3207903;0.5079254;0.62888485;1.0175961;30.744953;1.2183868;0.5302264;0.5079254;1.0117655;0.0;0
401.47244;70.232796;6.764969;8.468703;53.513145;3.5394435;1.3381655;0.98796374;1.3960668;0.99752235;1.03598;51.97151;0.8598445;1.097604;0.9491488;0.5773816;0.99752235;0.63471;38.35752;0.8598445;0.63910884;0.5773816;1.0141631;0.0;0
557.3849;76.903;8.367307;6.669709;55.10516;3.887789;1.2761083;1.2410668;1.3463296;0.68006283;1.2710313;50.417156;1.401546;0.74738866;0.850563;1.1877364;0.5997162;0.6499727;40.749046;0.80408025;0.85987175;0.961509;0.9622478;0.0;0
532.97015;74.12645;1.5995216;7.896418;58.054348;8.49265;1.423566;1.1613317;0.82599306;1.0689433;1.435627;54.316574;0.98224884;0.76504594;0.5107439;0.82599306;0.5831861;1.435627;40.973343;0.92544144;0.7630853;0.6001631;0.97822696;0.0;0
541.0331;78.39471;8.584896;7.5503855;54.52692;6.588381;1.3151526;1.4513041;1.1490414;0.93622416;1.3473518;51.99413;0.88071144;0.78703856;0.7717026;1.1490414;0.93622416;0.8821595;38.34773;0.88071144;0.5686797;1.086523;1.0346278;0.0;0
556.1458;71.730156;1.2420267;3.2677014;54.90896;4.522015;0.5894952;0.76002145;0.64997363;0.92752427;1.0148405;54.90896;1.44015;1.3511935;0.72589475;0.62922597;0.92752427;1.0148405;44.260445;0.939181;0.8869112;0.62922597;1.0068737;0.0;0
491.78314;70.13827;9.079318;9.408939;55.95865;6.480729;1.444384;1.2807966;1.254088;0.7014237;1.4384557;55.95865;0.5208003;0.79097265;0.8288191;1.254088;0.7014237;0.63148564;46.807854;0.5208003;0.60329103;1.207378;0.9533398;0.0;0
513.7482;73.88082;9.778125;6.7571797;54.252113;4.0814867;0.52470523;0.6876235;1.4983932;1.1391433;0.91874796;52.827457;1.0497738;1.3224696;0.6876235;1.3800287;0.71572846;0.91874796;30.920496;1.0497738;1.2041353;0.7691227;1.0157017;0.0;0
427.9594;77.36064;6.973842;2.7389655;57.260784;8.750096;0.8435561;1.3622828;1.4446685;1.3202965;0.57379514;50.78545;1.436265;0.99031776;1.3622828;0.87807924;1.3202965;0.57379514;40.867527;1.2654643;1.1041241;0.87807924;0.97634643;0.0;0
422.906;79.71728;9.856723;3.6849825;50.049076;7.5214515;0.8892352;1.3735132;1.1339324;0.98505384;0.63265777;50.049076;1.4348528;1.018902;0.9181695;0.61590785;0.98505384;0.63265777;42.04643;1.2427758;0.8859304;0.57605535;0.9621971;0.0;0
533.6806;78.83654;8.380126;5.7507644;54.830196;1.8186327;0.98526484;1.3174299;0.9469848;0.64877725;1.4521185;53.05809;0.65591806;1.0299146;1.3174299;0.8212665;0.64877725;1.0486666;45.34085;0.65591806;0.8064256;0.8212665;0.9874281;0.0;0
494.21924;74.840744;1.3037261;8.9246235;59.230164;1.4111471;0.7352292;0.8210202;0.8664135;0.76162386;1.4400514;53.51953;1.3190892;0.6280162;0.8210202;0.8664135;0.72734445;1.3005038;46.044292;0.5876373;0.75070196;0.8664135;0.9599156;0.0;0
513.04724;78.128174;0.93467957;8.150454;56.15904;1.2040985;0.6237974;0.64671844;0.77664095;0.8139327;1.4137181;56.15904;0.8737653;0.5087802;0.64671844;0.5759905;0.6533672;0.81660664;35.341396;0.8160411;0.6223102;0.5759905;1.0421067;0.0;0
552.99976;70.70331;1.0892663;3.6486368;54.864;1.1505543;1.3370475;1.3432477;0.5855958;1.3831453;1.2514844;53.503002;1.1505543;1.2793822;0.987433;0.5855958;1.3800908;1.12259;40.7036;0.6414258;0.81759596;0.5855958;1.0102644;0.0;0
526.94366;75.722725;5.0123534;7.1652255;57.72025;5.4218807;1.1418196;1.0895787;0.7095533;1.1238396;1.1792816;53.300503;0.5047618;1.2396514;0.50157255;0.5644886;0.54492956;0.75476116;32.04016;0.5047618;0.5711325;0.5644886;0.9716966;0.0;0
510.71588;79.24298;6.5727816;0.91507715;53.930008;2.5456605;0.9748931;0.94801;1.0586457;1.4266083;1.3376197;52.05227;0.52488744;1.4788615;0.61664927;1.0586457;1.0663867;1.1111633;41.089973;0.52488744;0.9831066;0.63908005;1.0022978;0.0;0
511.84143;73.96385;5.2813935;3.9270334;54.672455;7.038249;1.2746034;0.91261417;0.77181494;0.8219453;0.9452997;54.672455;0.7084317;0.9786983;0.87547624;0.54644305;0.5655879;0.9452997;33.07621;0.6828869;1.4575554;0.54644305;1.0174763;0.0;0
460.79;79.601006;7.061886;8.540317;51.9516;5.293137;1.4151571;0.60133326;1.225521;1.3729186;1.0473421;51.9516;1.076158;0.6799441;0.60133326;1.1614068;0.6581739;0.509989;38.084183;1.076158;1.3152959;1.1614068;1.0114437;0.0;0
406.16357;72.20685;4.991384;2.275931;51.242043;1.7506397;0.72392654;1.1469557;1.2677876;1.2916687;1.3983201;51.119614;1.4407068;0.93378097;0.5232262;0.8229398;0.874081;0.5863404;34.484592;0.7808509;1.4436793;0.8229398;0.9917838;0.0;0
487.34348;71.056335;1.2873306;4.1158967;50.255226;0.95306975;0.8229104;1.020806;0.97663814;1.4488988;0.5567784;50.255226;0.95306975;0.5238242;1.020806;0.97663814;0.9757532;0.5567784;42.748802;0.95306975;0.7710287;0.97663814;0.99533224;0.0;0
442.91693;75.24762;2.958117;0.90949416;57.31509;1.2341952;1.4343221;1.4612786;1.4055535;0.74177796;1.0632542;57.31509;0.6770267;0.7840595;0.8568273;0.78561395;0.74177796;1.0632542;33.334854;0.6770267;0.9175671;0.78561395;1.0295049;0.0;0
481.70572;79.07247;9.93288;1.1105078;54.6819;5.7533646;1.0440433;1.175064;1.3152794;1.4471735;0.8811978;54.6819;0.68558395;0.6780135;1.1740612;1.0242555;1.4471735;0.8811978;49.59094;0.6240029;1.2304155;1.0242555;1.0140709;0.0;0
570.6806;73.11279;4.047361;2.2287729;59.39353;6.238099;0.7812393;1.4656314;0.57776845;1.1594443;1.0555661;51.46276;1.3876003;0.5124497;1.4656314;0.57776845;1.1594443;1.0555661;36.93374;0.64484227;0.83377916;0.57776845;1.0123731;0.0;0
446.7879;78.0016;3.8553681;1.8269538;51.76816;4.112431;0.658222;0.6398409;1.3024925;1.2345202;1.457268;51.76816;1.2417197;1.1425492;0.6398409;1.3024925;1.21038;1.40287;49.081505;0.7017663;0.62899715;0.96997654;0.9771586;0.0;0
411.66055;71.69197;2.2904077;5.356537;52.439835;1.6179944;1.4887103;1.1824942;1.3297837;0.6858847;1.285673;52.439835;1.0782714;1.3527558;0.6391412;1.3168781;0.605291;0.7245288;48.051414;0.5585955;1.0120307;1.3168781;0.9729264;0.0;0
456.27676;77.4557;9.883008;9.09004;56.38726;9.405668;1.0350239;1.3142844;0.8466026;0.71605325;0.9765554;56.38726;0.5485662;1.0942458;0.6970699;0.8466026;0.71605325;0.60003597;44.36899;0.5485662;1.457919;0.692142;0.98115546;0.0;0
458.71875;75.57027;2.9971797;1.6702396;50.54598;4.5919943;1.3622576;1.1111478;0.9929897;1.4943218;1.1808133;50.54598;0.6474201;1.1078283;1.1111478;0.53906995;0.8196721;1.0896602;48.05431;0.6474201;1.2685541;0.53906995;1.0341929;0.0;0
532.3833;71.75017;6.786122;8.8155155;55.034134;4.8067083;1.1359967;1.114852;0.57011384;1.2839857;1.062911;53.793118;1.0705318;1.1943159;0.9600788;0.57011384;0.78104967;1.062911;34.64702;1.0705318;0.79745454;0.57011384;1.0447475;0.0;0
511.40643;77.18087;1.2826319;6.9802365;51.235817;4.3712645;0.943664;0.65575916;0.76591974;1.3890454;0.6971811;51.235817;1.345082;1.3717859;0.65575916;0.76591974;1.0489807;0.6971811;39.425327;0.94853896;0.79620516;0.6639867;0.953961;0.0;0
556.77966;77.13756;1.5048982;2.4369433;51.613976;1.441153;1.3582982;0.8212158;1.4514635;0.7621947;0.95605224;51.613976;1.1477312;1.2187986;0.68076354;1.1795622;0.67073876;0.95605224;36.568687;1.1477312;0.5340412;0.6273482;0.99825495;0.0;0
532.86273;75.15435;7.4224405;3.536602;55.121;7.3650723;0.85650826;1.1325508;1.4330475;0.99506193;0.61089265;54.870567;0.99460053;0.867495;0.67797697;0.8465451;0.8213319;0.61089265;30.220411;0.99460053;1.1838351;0.8104526;1.0026429;0.0;0
481.27737;72.25468;6.6800303;2.6670697;55.69071;6.9497724;1.2684721;0.9730087;1.1829152;1.0295743;0.9563428;55.69071;1.4183561;1.3212047;0.9730087;1.1829152;0.5610777;0.9563428;39.031967;1.2501891;0.5369105;0.54061896;1.0137007;0.0;0
562.8041;71.32294;7.089478;8.082616;52.120346;2.3966272;0.95341605;1.3630345;0.5183075;0.7663916;0.93940276;52.120346;0.55007845;1.0598052;0.746372;0.5183075;0.7663916;0.93940276;42.56705;0.55007845;0.993277;0.5183075;0.9859944;0.0;0
433.3946;79.57255;3.0018308;7.498413;52.712387;3.344099;1.3973899;1.2772897;0.5239263;0.6445202;1.1983254;52.712387;0.64221203;1.3791764;0.82726;0.5239263;0.6445202;1.1983254;37.32111;0.6251662;1.362649;0.5239263;0.97584546;0.0;0
404.54242;76.55813;9.86249;3.670125;52.841076;5.8769703;1.0032179;1.0349383;1.095054;0.6859423;0.76942766;51.42274;0.73264533;1.1868091;0.8290238;1.095054;0.6859423;0.76942766;31.192333;0.73264533;1.12168;0.9729168;0.99976;0.0;0
418.00958;78.092415;5.981214;1.3944424;51.4181;4.3285728;0.825817;1.1118784;0.73025215;0.8188025;0.8930155;51.4181;0.5091688;1.0207785;0.772324;0.73025215;0.8188025;0.8930155;35.946316;0.5091688;1.0827718;0.73025215;1.0131819;0.0;0
544.47186;76.9697;9.722888;2.435541;59.657207;9.981155;1.2257442;1.1563642;1.1516999;0.9219978;0.9115861;50.062267;0.94469106;1.1436479;1.1563642;0.7423242;0.9219978;0.8784975;42.194725;0.696636;0.6341965;0.7423242;1.0051405;0.0;0
492.37546;78.29474;2.3939521;6.631875;56.922;5.4179463;1.3601339;1.1552165;0.5958857;0.5187211;0.67170393;56.922;0.8909509;1.2132057;0.54790443;0.5958857;0.5187211;0.67170393;41.26916;0.60916686;0.59890884;0.5958857;0.9848211;0.0;0
432.25436;71.62491;4.5864058;1.7223926;51.108418;8.9282875;1.3510183;1.1960785;1.4874637;0.97708195;1.2325177;51.108418;0.6387794;0.641872;0.75657564;1.3264501;0.75756365;1.0286864;39.48528;0.6387794;1.0135394;1.2570493;0.998136;0.0;0
500.20895;74.969505;3.9547381;5.781836;53.5716;2.7619762;0.9784051;0.9971777;0.6146907;1.0287988;1.169281;53.5716;0.5573733;1.2336874;0.55678964;0.6146907;1.0287988;0.64294493;39.912014;0.5573733;1.4645013;0.6146907;0.97594446;0.0;0
430.46243;76.67125;7.771182;6.477654;51.72603;5.9616113;0.940171;0.6238107;0.8367066;0.9752011;0.9007727;51.72603;0.58084077;0.9036476;0.6238107;0.8367066;0.9752011;0.9007727;42.8389;0.58084077;0.83229893;0.7027642;1.0117103;0.0;0
539.2641;71.0339;7.7029;7.158558;52.34386;3.8283381;0.64929324;1.4551433;0.5976861;1.0924809;0.6584018;52.34386;0.95347244;1.2686397;0.59167445;0.5976861;1.0924809;0.6584018;34.18401;0.95347244;0.92992616;0.5976861;1.0427083;0.0;0
489.23126;71.49957;5.3275485;2.0407374;59.39478;9.403965;0.53924334;0.51645553;0.88405;0.5896178;1.2873718;57.54113;1.2201502;1.2330937;0.51645553;0.88405;0.5896178;0.99890065;48.477142;1.2201502;0.8477583;0.8002828;1.0379694;0.0;0
476.20425;76.33983;1.0469469;5.0833235;51.36753;5.915743;1.4315206;0.5165819;0.8364278;1.3814487;1.1929325;51.36753;0.6425637;0.5122981;0.5165819;0.8364278;1.3530039;1.1929325;37.310493;0.6425637;0.76783395;0.64218646;0.985444;0.0;0
460.30243;78.68706;2.494372;5.116909;58.79812;6.8509088;1.2252299;1.4384083;1.1457009;0.73373395;1.1641904;53.23947;1.2410592;1.0527936;0.63860154;1.1457009;0.51440066;0.68208915;40.954586;1.1976041;0.6731544;1.053099;0.9754372;0.0;0
526.0565;76.604164;1.3574176;8.501072;58.41835;1.5917891;1.0767816;0.99438286;1.3592665;0.9376139;1.4455642;58.41835;0.66873443;0.86219406;0.99438286;1.3592665;0.6909133;1.4248215;48.417156;0.66873443;1.0874493;1.029036;1.0372036;0.0;0
472.36252;70.362045;8.607833;5.1653247;57.436684;5.337953;1.0834072;1.3175539;1.3102171;1.3564065;1.3035628;52.24553;1.0757376;0.5351422;0.66890514;1.0024117;1.3564065;1.0192366;41.305935;1.0757376;0.5337635;0.88721925;1.0433365;0.0;0
417.53;79.70433;3.5369213;4.6018414;54.96722;6.173205;0.52334684;0.8857147;1.232881;1.2156668;1.3987261;51.60208;0.8195863;0.75091016;0.5854739;0.8724691;1.0385813;1.1707805;31.191055;0.8195863;0.9809756;0.61706793;1.0341927;0.0;0
423.60117;71.395065;1.973096;2.0234902;52.583675;3.5426664;0.9537515;0.93094313;1.497819;1.2220783;1.2604784;52.583675;0.6150482;1.4707497;0.60857224;1.4129056;0.71597016;0.87722796;45.12315;0.6150482;0.8656112;1.2088205;1.0012016;0.0;0
592.3795;72.32562;4.1229687;7.2196255;58.3098;7.5954766;1.4213247;1.2053756;0.5436033;1.3005338;1.2454854;50.682735;1.2463547;1.0487282;1.2053756;0.5436033;1.2746791;1.2454854;47.13246;1.1516503;0.6890501;0.5436033;1.0075295;0.0;0
581.7161;79.74967;1.6033328;6.5400844;58.340748;5.145878;0.96203727;1.0088519;1.2895491;1.4670002;1.2584027;54.322304;0.9959465;1.1566253;0.77023494;1.2895491;1.018388;1.0441843;44.924152;0.9959465;1.0511343;1.2895491;1.0188658;0.0;0
539.9414;77.71033;9.8076;7.4242435;55.25316;6.0079246;1.0808128;1.4006175;0.63030976;0.5411233;1.4453994;55.25316;0.98202366;0.5584899;1.2165426;0.63030976;0.5316484;0.94873613;32.151863;0.8721219;0.9259874;0.63030976;0.9614547;0.0;0
453.17398;79.36577;3.766572;6.8721776;50.476135;4.184466;0.8771012;1.1914929;1.1081076;1.4973922;1.0249857;50.476135;0.9707339;1.3699285;0.8537539;0.9530845;0.6718025;0.58198655;44.62772;0.9707339;0.52396566;0.9530845;0.9877625;0.0;0
593.83527;78.0662;9.390907;8.865083;51.92961;7.056198;0.6050345;1.0272679;1.3111639;1.4349103;0.9104974;51.92961;0.7398632;0.6629069;0.6574901;1.239692;0.7491719;0.9104974;46.365852;0.7398632;1.0918336;0.69631016;0.96732736;0.0;0
555.7502;76.51734;7.112831;8.883849;50.560833;1.8388605;0.82356876;1.3297349;1.1613923;0.6417871;1.4611948;50.560833;0.8756374;0.71687585;0.71353996;1.0219177;0.6417871;0.54682606;49.21268;0.8756374;0.7964368;0.98933685;0.99726844;0.0;0
543.37805;72.84553;6.0515738;3.6999176;51.79838;5.50667;0.58508915;1.0448985;0.61455476;0.79479945;1.4689145;51.79838;1.0888875;0.7985304;1.0448985;0.61455476;0.79479945;1.1467162;49.65253;0.8829414;1.0742953;0.61455476;0.9724477;0.0;0
489.8723;73.268814;5.2270226;2.5599496;55.084213;9.050328;1.0785795;0.7996212;0.6838549;1.1589965;1.3724208;55.084213;0.5117311;1.2637743;0.7996212;0.6838549;0.918945;1.3724208;45.710217;0.5117311;1.3102658;0.6838549;0.9891492;0.0;0
